,RMNH.INS.1271298_An_messeae - COX2 gene,RMNH.INS.1271299_An_messeae - COX2 gene,RMNH.INS.1271300_An_messeae - COX2 gene,RMNH.INS.1271301_Cq_richiardii - COX2 gene,RMNH.INS.1271302_Cq_richiardii - COX2 gene,RMNH.INS.1271303_Cq_richiardii - COX2 gene,RMNH.INS.1271304_Ae_vexans - COX2 gene,RMNH.INS.1271305_Ae_vexans - COX2 gene,RMNH.INS.1271306_Ae_vexans - COX2 gene,RMNH.INS.1271307_Cs_annulata - COX2 gene,RMNH.INS.1271308_Cs_annulata - COX2 gene,RMNH.INS.1271309_Cs_annulata - COX2 gene,RMNH.INS.1271310_An_claviger - COX2 gene,RMNH.INS.1271311_An_claviger - COX2 gene,RMNH.INS.1271312_An_claviger - COX2 gene,RMNH.INS.1271313_Cx_modestus - COX2 gene,RMNH.INS.1271314_Cx_modestus - COX2 gene,RMNH.INS.1271315_Cx_modestus - COX2 gene,RMNH.INS.1271316_Cx_territans - COX2 gene,RMNH.INS.1271317_Cx_territans - COX2 gene,RMNH.INS.1271318_Cx_territans - COX2 gene,RMNH.INS.1271319_Ae_cinereus - COX2 gene,RMNH.INS.1271320_Ae_cinereus - COX2 gene,RMNH.INS.1271321_Ae_cinereus - COX2 gene,RMNH.INS.1271322_Cs_longiareolata - COX2 gene,RMNH.INS.1271323_Cs_longiareolata - COX2 gene,RMNH.INS.1271324_Cs_longiareolata - COX2 gene,RMNH.INS.1271325_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271326_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271327_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271328_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271329_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271330_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271331_Ae_rusticus - COX2 gene,RMNH.INS.1271332_Ae_rusticus - COX2 gene,RMNH.INS.1271333_Ae_rusticus - COX2 gene,RMNH.INS.1271334_Ae_communis - COX2 gene,RMNH.INS.1271335_Ae_communis - COX2 gene,RMNH.INS.1271336_Ae_communis - COX2 gene,RMNH.INS.1271337_Ae_punctor - COX2 gene,RMNH.INS.1271338_Ae_rusticus - COX2 gene,RMNH.INS.1271339_Ae_punctor - COX2 gene,RMNH.INS.1271340_Ae_geniculatus - COX2 gene,RMNH.INS.1271341_Ae_geniculatus - COX2 gene,RMNH.INS.1271342_Ae_geniculatus - COX2 gene,RMNH.INS.1271344_Cs_subochrea - COX2 gene,RMNH.INS.1271345_Cs_annulata - COX2 gene,RMNH.INS.1271346_Ae_caspius - COX2 gene,RMNH.INS.1271347_Ae_caspius - COX2 gene,RMNH.INS.1271348_Ae_caspius - COX2 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - COX2 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - COX2 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - COX2 gene,RMNH.INS.1271352_Cs_annulata - COX2 gene,RMNH.INS.1271354_Cs_annulata - COX2 gene,RMNH.INS.1271355_Cx_pipiens - COX2 gene,RMNH.INS.1271356_Cx_pipiens - COX2 gene,RMNH.INS.1271357_Cx_pipiens - COX2 gene,RMNH.INS.1271358_Cs_morsitans - COX2 gene,RMNH.INS.1271359_Cs_morsitans - COX2 gene,RMNH.INS.1271360_Cs_morsitans - COX2 gene,RMNH.INS.1271361_Ae_sticticus - COX2 gene,RMNH.INS.1271362_Ae_sticticus - COX2 gene,RMNH.INS.1271363_Ae_sticticus - COX2 gene,RMNH.INS.1271367_Ae_detritus - COX2 gene,RMNH.INS.1271368_Ae_detritus - COX2 gene,RMNH.INS.1271369_Ae_caspius - COX2 gene,RMNH.INS.1271370_Ae_flavescens - COX2 gene,RMNH.INS.1271371_Ae_flavescens - COX2 gene,RMNH.INS.1271372_Ae_flavescens - COX2 gene,RMNH.INS.1271375_Ae_leucomelas - COX2 gene,RMNH.INS.1271376_Ae_albopictus - COX2 gene,RMNH.INS.1271377_Ae_albopictus - COX2 gene,RMNH.INS.1271378_Ae_albopictus - COX2 gene,RMNH.INS.1271379_Ae_japonicus - COX2 gene,RMNH.INS.1271380_Ae_japonicus - COX2 gene,RMNH.INS.1271381_Ae_japonicus - COX2 gene,RMNH.INS.1271382_Ae_aegypti - COX2 gene,RMNH.INS.1271383_Ae_aegypti - COX2 gene,RMNH.INS.1271384_Ae_aegypti - COX2 gene,RMNH.INS.1271386_Ae_cinereus - COX2 gene,RMNH.INS.1271389_Cs_ochroptera - COX2 gene
RMNH.INS.1271308_Cs_annulata - COX2 gene,84.503,84.795,84.795,86.608,86.463,86.463,90.205,90.351,90.205,99.854,,99.854,85.234,85.088,85.234,88.45,87.865,88.012,89.327,88.889,88.889,86.111,86.111,85.819,92.251,92.251,92.251,90.351,90.205,90.497,90.351,90.351,90.205,90.351,90.351,90.351,89.474,89.474,89.474,89.327,90.351,89.327,89.474,89.474,89.474,97.515,100,89.766,90.351,89.62,88.45,88.45,88.45,100,100,89.766,89.766,89.62,91.228,91.228,91.228,89.62,89.62,89.766,88.743,88.743,90.351,89.62,89.62,89.62,90.058,89.181,89.181,89.035,88.012,88.012,87.865,88.304,88.304,88.304,85.819,91.228
RMNH.INS.1271309_Cs_annulata - COX2 gene,84.503,84.795,84.795,86.754,86.608,86.608,90.351,90.497,90.351,99.708,99.854,,85.234,85.088,85.234,88.45,87.865,88.012,89.474,89.035,89.035,86.257,86.257,85.965,92.251,92.251,92.251,90.497,90.351,90.643,90.497,90.497,90.351,90.497,90.497,90.497,89.62,89.62,89.62,89.474,90.497,89.474,89.474,89.474,89.474,97.661,99.854,89.912,90.497,89.766,88.45,88.45,88.45,99.854,99.854,89.912,89.912,89.766,91.374,91.374,91.374,89.62,89.62,89.766,88.889,88.889,90.497,89.766,89.766,89.766,90.205,89.181,89.181,89.035,88.012,88.012,87.865,88.304,88.304,88.304,85.965,91.374
RMNH.INS.1271310_An_claviger - COX2 gene,89.327,89.474,89.474,83.115,83.261,83.261,86.257,86.404,86.257,85.088,85.234,85.234,,99.854,100,84.064,83.772,83.918,85.234,84.942,84.942,84.649,84.503,84.211,86.404,86.404,86.404,85.819,85.819,86.111,85.819,85.965,85.819,86.257,86.257,86.257,84.795,84.649,84.795,84.357,86.257,84.357,85.673,85.673,85.673,85.526,85.234,85.38,85.526,85.234,87.427,87.427,87.427,85.234,85.234,85.819,85.819,85.673,83.772,83.772,83.772,85.234,85.234,85.088,85.38,85.526,85.526,85.526,85.526,85.38,85.673,84.649,84.649,84.503,84.211,84.211,83.772,84.211,84.211,84.211,84.211,85.965
RMNH.INS.1271311_An_claviger - COX2 gene,89.181,89.327,89.327,82.969,83.115,83.115,86.111,86.257,86.111,84.942,85.088,85.088,99.854,,99.854,83.918,83.626,83.772,85.088,84.795,84.795,84.503,84.357,84.064,86.257,86.257,86.257,85.673,85.673,85.965,85.673,85.819,85.673,86.111,86.111,86.111,84.649,84.503,84.649,84.211,86.111,84.211,85.526,85.526,85.526,85.673,85.088,85.234,85.38,85.088,87.281,87.281,87.281,85.088,85.088,85.673,85.673,85.526,83.626,83.626,83.626,85.088,85.088,84.942,85.234,85.38,85.38,85.38,85.38,85.234,85.526,84.503,84.503,84.357,84.064,84.064,83.626,84.357,84.357,84.357,84.064,85.819
RMNH.INS.1271312_An_claviger - COX2 gene,89.327,89.474,89.474,83.115,83.261,83.261,86.257,86.404,86.257,85.088,85.234,85.234,100,99.854,,84.064,83.772,83.918,85.234,84.942,84.942,84.649,84.503,84.211,86.404,86.404,86.404,85.819,85.819,86.111,85.819,85.965,85.819,86.257,86.257,86.257,84.795,84.649,84.795,84.357,86.257,84.357,85.673,85.673,85.673,85.526,85.234,85.38,85.526,85.234,87.427,87.427,87.427,85.234,85.234,85.819,85.819,85.673,83.772,83.772,83.772,85.234,85.234,85.088,85.38,85.526,85.526,85.526,85.526,85.38,85.673,84.649,84.649,84.503,84.211,84.211,83.772,84.211,84.211,84.211,84.211,85.965
RMNH.INS.1271313_Cx_modestus - COX2 gene,81.433,81.725,81.871,86.754,86.9,86.9,88.158,88.012,88.158,88.304,88.45,88.45,84.064,83.918,84.064,,98.83,98.977,89.62,89.474,89.474,86.257,86.257,85.965,88.596,88.596,88.596,89.474,89.327,89.62,89.474,89.327,89.181,88.158,88.158,88.158,88.304,88.158,88.158,87.865,88.158,87.865,88.596,88.596,88.596,88.596,88.45,88.45,88.743,88.304,85.234,85.234,85.234,88.45,88.45,93.567,93.567,93.421,86.404,86.55,86.404,87.573,87.573,87.427,87.573,88.012,88.743,89.474,89.474,89.474,88.158,88.304,88.304,88.158,87.427,87.427,87.427,87.719,88.012,87.719,85.965,88.158
RMNH.INS.1271314_Cx_modestus - COX2 gene,81.579,81.871,82.018,86.9,87.045,87.045,88.012,87.865,88.012,87.719,87.865,87.865,83.772,83.626,83.772,98.83,,99.854,89.181,89.035,89.035,86.111,86.111,85.819,88.012,88.012,88.012,89.035,88.889,89.327,89.035,89.035,88.889,87.865,87.865,87.865,87.865,87.719,87.865,87.281,87.865,87.281,88.596,88.596,88.596,88.158,87.865,87.865,88.158,87.719,84.649,84.649,84.649,87.865,87.865,93.421,93.421,93.275,85.965,86.111,85.965,87.719,87.719,87.573,87.135,87.573,88.158,89.181,89.181,89.181,87.865,87.865,87.865,87.719,87.427,87.427,87.427,87.135,87.427,87.135,85.819,87.865
RMNH.INS.1271315_Cx_modestus - COX2 gene,81.579,81.871,82.018,86.9,87.045,87.045,88.012,87.865,88.012,87.865,88.012,88.012,83.918,83.772,83.918,98.977,99.854,,89.181,89.035,89.035,86.257,86.257,85.965,88.158,88.158,88.158,89.181,89.035,89.474,89.181,89.181,89.035,88.012,88.012,88.012,88.012,87.865,88.012,87.427,88.012,87.427,88.743,88.743,88.743,88.304,88.012,88.012,88.304,87.865,84.795,84.795,84.795,88.012,88.012,93.567,93.567,93.421,86.111,86.257,86.111,87.719,87.719,87.573,87.281,87.719,88.304,89.327,89.327,89.327,87.719,88.012,88.012,87.865,87.573,87.573,87.573,87.281,87.573,87.281,85.965,88.012
RMNH.INS.1271316_Cx_territans - COX2 gene,85.088,85.38,85.38,87.045,87.191,87.191,89.474,89.62,89.474,89.181,89.327,89.474,85.234,85.088,85.234,89.62,89.181,89.181,,99.561,99.561,87.573,87.573,87.281,89.035,89.035,89.035,90.643,90.789,90.789,90.643,90.497,90.351,90.058,90.058,90.058,90.205,90.058,90.058,89.035,90.058,89.035,90.058,90.058,90.058,89.327,89.327,90.205,90.351,90.058,85.673,85.673,85.673,89.327,89.327,90.058,90.058,89.912,88.889,88.889,88.889,88.45,88.45,88.304,87.865,87.719,90.351,89.62,89.62,89.62,89.181,89.474,89.474,89.327,89.327,89.327,89.327,87.135,87.427,86.988,87.281,88.596
RMNH.INS.1271317_Cx_territans - COX2 gene,84.795,85.088,85.088,86.608,86.754,86.754,89.327,89.181,89.327,88.743,88.889,89.035,84.942,84.795,84.942,89.474,89.035,89.035,99.561,,100,87.573,87.865,87.573,88.596,88.596,88.596,90.497,90.643,90.643,90.497,90.351,90.205,89.912,89.912,89.912,90.351,90.205,90.205,88.889,89.912,88.889,89.62,89.62,89.62,88.889,88.889,90.351,90.497,90.205,85.234,85.234,85.234,88.889,88.889,89.912,89.912,89.766,88.45,88.45,88.45,88.304,88.304,88.158,87.427,87.281,90.497,89.766,89.766,89.474,89.035,89.035,89.035,88.889,89.181,89.181,89.181,86.988,87.281,86.842,87.573,88.45
RMNH.INS.1271318_Cx_territans - COX2 gene,84.795,85.088,85.088,86.608,86.754,86.754,89.327,89.181,89.327,88.743,88.889,89.035,84.942,84.795,84.942,89.474,89.035,89.035,99.561,100,,87.573,87.865,87.573,88.596,88.596,88.596,90.497,90.643,90.643,90.497,90.351,90.205,89.912,89.912,89.912,90.351,90.205,90.205,88.889,89.912,88.889,89.62,89.62,89.62,88.889,88.889,90.351,90.497,90.205,85.234,85.234,85.234,88.889,88.889,89.912,89.912,89.766,88.45,88.45,88.45,88.304,88.304,88.158,87.427,87.281,90.497,89.766,89.766,89.474,89.035,89.035,89.035,88.889,89.181,89.181,89.181,86.988,87.281,86.842,87.573,88.45
RMNH.INS.1271319_Ae_cinereus - COX2 gene,83.772,84.064,84.211,85.298,85.153,85.153,91.374,91.228,91.374,85.965,86.111,86.257,84.649,84.503,84.649,86.257,86.111,86.257,87.573,87.573,87.573,,99.561,99.269,85.673,85.673,85.673,89.766,89.912,89.912,89.766,89.766,89.62,89.912,89.912,89.912,89.181,89.035,89.035,88.012,89.912,88.012,89.474,89.474,89.474,86.55,86.111,90.205,90.058,90.058,82.31,82.31,82.31,86.111,86.111,87.427,87.427,87.281,85.234,85.088,85.088,88.45,88.45,88.304,89.035,88.889,90.058,90.058,90.058,89.912,89.912,86.988,86.988,86.842,87.719,87.719,87.865,87.719,88.304,88.158,99.269,87.719
RMNH.INS.1271320_Ae_cinereus - COX2 gene,83.918,84.211,84.357,85.298,85.153,85.153,91.228,91.082,91.228,85.965,86.111,86.257,84.503,84.357,84.503,86.257,86.111,86.257,87.573,87.865,87.865,99.561,,99.708,85.526,85.526,85.526,89.766,89.912,89.912,89.766,89.912,89.766,90.058,90.058,90.058,89.181,89.035,89.035,88.012,90.058,88.012,89.474,89.474,89.474,86.55,86.111,90.058,89.912,89.912,82.31,82.31,82.31,86.111,86.111,87.427,87.427,87.281,85.234,85.088,85.088,88.45,88.45,88.304,88.889,88.743,89.912,90.058,90.058,89.912,89.912,86.988,86.988,86.842,88.012,88.012,88.158,87.573,88.158,88.012,99.708,87.573
RMNH.INS.1271321_Ae_cinereus - COX2 gene,83.626,83.918,84.064,85.007,84.862,84.862,90.936,90.789,90.936,85.673,85.819,85.965,84.211,84.064,84.211,85.965,85.819,85.965,87.281,87.573,87.573,99.269,99.708,,85.234,85.234,85.234,89.474,89.62,89.62,89.474,89.62,89.474,89.766,89.766,89.766,88.889,88.743,88.743,87.719,89.766,87.719,89.181,89.181,89.181,86.257,85.819,89.766,89.62,89.62,82.31,82.31,82.31,85.819,85.819,87.135,87.135,86.988,84.942,84.795,84.795,88.158,88.158,88.012,88.596,88.45,89.62,89.766,89.766,89.62,89.62,86.988,86.988,86.842,88.012,88.012,88.158,87.573,88.158,88.012,100,87.281
RMNH.INS.1271322_Cs_longiareolata - COX2 gene,84.503,84.795,84.795,87.773,87.627,87.627,88.743,88.889,88.743,92.105,92.251,92.251,86.404,86.257,86.404,88.596,88.012,88.158,89.035,88.596,88.596,85.673,85.526,85.234,,100,100,89.766,89.327,89.474,89.474,89.474,89.327,89.912,89.912,89.912,88.158,88.158,88.012,87.281,89.912,87.281,89.327,89.327,89.327,92.251,92.251,89.766,89.912,89.62,87.135,87.135,87.135,92.251,92.251,87.573,87.573,87.427,89.035,89.035,89.035,88.596,88.596,88.45,88.45,88.45,89.912,88.889,88.889,88.889,88.304,88.889,88.889,88.743,88.596,88.596,88.304,88.45,88.596,88.45,85.234,90.351
RMNH.INS.1271323_Cs_longiareolata - COX2 gene,84.503,84.795,84.795,87.773,87.627,87.627,88.743,88.889,88.743,92.105,92.251,92.251,86.404,86.257,86.404,88.596,88.012,88.158,89.035,88.596,88.596,85.673,85.526,85.234,100,,100,89.766,89.327,89.474,89.474,89.474,89.327,89.912,89.912,89.912,88.158,88.158,88.012,87.281,89.912,87.281,89.327,89.327,89.327,92.251,92.251,89.766,89.912,89.62,87.135,87.135,87.135,92.251,92.251,87.573,87.573,87.427,89.035,89.035,89.035,88.596,88.596,88.45,88.45,88.45,89.912,88.889,88.889,88.889,88.304,88.889,88.889,88.743,88.596,88.596,88.304,88.45,88.596,88.45,85.234,90.351
