,RMNH.INS.1271298_An_messeae - ND6 CDS,RMNH.INS.1271299_An_messeae - ND6 CDS,RMNH.INS.1271300_An_messeae - ND6 CDS,RMNH.INS.1271301_Cq_richiardii - ND6 CDS,RMNH.INS.1271302_Cq_richiardii - ND6 CDS,RMNH.INS.1271303_Cq_richiardii - ND6 CDS,RMNH.INS.1271304_Ae_vexans - ND6 CDS,RMNH.INS.1271305_Ae_vexans - ND6 CDS,RMNH.INS.1271306_Ae_vexans - ND6 CDS,RMNH.INS.1271307_Cs_annulata - ND6 CDS,RMNH.INS.1271308_Cs_annulata - ND6 CDS,RMNH.INS.1271309_Cs_annulata - ND6 CDS,RMNH.INS.1271310_An_claviger - ND6 CDS,RMNH.INS.1271311_An_claviger - ND6 CDS,RMNH.INS.1271312_An_claviger - ND6 CDS,RMNH.INS.1271313_Cx_modestus - ND6 CDS,RMNH.INS.1271314_Cx_modestus - ND6 CDS,RMNH.INS.1271315_Cx_modestus - ND6 CDS,RMNH.INS.1271316_Cx_territans - ND6 CDS,RMNH.INS.1271317_Cx_territans - ND6 CDS,RMNH.INS.1271318_Cx_territans - ND6 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271322_Cs_longiareolata - ND6 CDS,RMNH.INS.1271323_Cs_longiareolata - ND6 CDS,RMNH.INS.1271324_Cs_longiareolata - ND6 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271331_Ae_rusticus - ND6 CDS,RMNH.INS.1271332_Ae_rusticus - ND6 CDS,RMNH.INS.1271333_Ae_rusticus - ND6 CDS,RMNH.INS.1271334_Ae_communis - ND6 CDS,RMNH.INS.1271335_Ae_communis - ND6 CDS,RMNH.INS.1271336_Ae_communis - ND6 CDS,RMNH.INS.1271337_Ae_punctor - ND6 CDS,RMNH.INS.1271338_Ae_rusticus - ND6 CDS,RMNH.INS.1271339_Ae_punctor - ND6 CDS,RMNH.INS.1271340_Ae_geniculatus - ND6 CDS,RMNH.INS.1271341_Ae_geniculatus - ND6 CDS,RMNH.INS.1271342_Ae_geniculatus - ND6 CDS,RMNH.INS.1271344_Cs_subochrea - ND6 CDS,RMNH.INS.1271345_Cs_annulata - ND6 CDS,RMNH.INS.1271346_Ae_caspius - ND6 CDS,RMNH.INS.1271347_Ae_caspius - ND6 CDS,RMNH.INS.1271348_Ae_caspius - ND6 CDS,RMNH.INS.1271349_An_plumbeus - ND6 CDS,RMNH.INS.1271350_An_plumbeus - ND6 CDS,RMNH.INS.1271351_An_plumbeus - ND6 CDS,RMNH.INS.1271352_Cs_annulata - ND6 CDS,RMNH.INS.1271354_Cs_annulata - ND6 CDS,RMNH.INS.1271355_Cx_pipiens - ND6 CDS,RMNH.INS.1271356_Cx_pipiens - ND6 CDS,RMNH.INS.1271357_Cx_pipiens - ND6 CDS,RMNH.INS.1271358_Cs_morsitans - ND6 CDS,RMNH.INS.1271359_Cs_morsitans - ND6 CDS,RMNH.INS.1271360_Cs_morsitans - ND6 CDS,RMNH.INS.1271361_Ae_sticticus - ND6 CDS,RMNH.INS.1271362_Ae_sticticus - ND6 CDS,RMNH.INS.1271363_Ae_sticticus - ND6 CDS,RMNH.INS.1271367_Ae_detritus - ND6 CDS,RMNH.INS.1271368_Ae_detritus - ND6 CDS,RMNH.INS.1271369_Ae_caspius - ND6 CDS,RMNH.INS.1271370_Ae_flavescens - ND6 CDS,RMNH.INS.1271371_Ae_flavescens - ND6 CDS,RMNH.INS.1271372_Ae_flavescens - ND6 CDS,RMNH.INS.1271375_Ae_leucomelas - ND6 CDS,RMNH.INS.1271376_Ae_albopictus - ND6 CDS,RMNH.INS.1271377_Ae_albopictus - ND6 CDS,RMNH.INS.1271378_Ae_albopictus - ND6 CDS,RMNH.INS.1271379_Ae_japonicus - ND6 CDS,RMNH.INS.1271380_Ae_japonicus - ND6 CDS,RMNH.INS.1271381_Ae_japonicus - ND6 CDS,RMNH.INS.1271382_Ae_aegypti - ND6 CDS,RMNH.INS.1271383_Ae_aegypti - ND6 CDS,RMNH.INS.1271384_Ae_aegypti - ND6 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271389_Cs_ochroptera - ND6 CDS
RMNH.INS.1271308_Cs_annulata - ND6 CDS,78.682,78.682,78.488,78.431,78.627,78.824,83.527,83.527,83.721,100.000,,99.225,78.682,78.488,78.682,84.884,84.496,84.109,85.659,85.659,85.659,82.946,82.752,82.752,84.496,84.496,84.496,83.527,83.333,82.946,83.333,82.558,82.171,84.302,84.302,84.302,81.202,81.008,81.008,80.233,84.302,80.233,83.721,83.721,83.721,94.767,100.000,83.721,83.915,83.721,81.202,81.202,81.202,100.000,100.000,86.240,86.240,86.240,86.628,86.434,86.628,81.977,81.977,81.977,83.527,82.946,83.721,83.915,83.915,83.721,83.140,82.364,82.171,82.364,82.752,82.752,82.752,81.395,81.008,81.977,82.752,87.597
RMNH.INS.1271309_Cs_annulata - ND6 CDS,78.295,78.295,78.101,78.039,78.235,78.431,83.140,83.140,83.333,99.225,99.225,,78.295,78.101,78.295,84.302,83.915,83.527,84.884,84.884,84.884,82.171,81.977,81.977,83.721,83.721,83.721,82.752,82.558,82.171,82.558,81.783,81.395,83.915,83.915,83.915,80.814,80.620,80.620,79.845,83.915,79.845,83.333,83.333,83.333,93.992,99.225,83.333,83.527,83.333,80.426,80.426,80.426,99.225,99.225,86.047,86.047,86.047,85.853,85.659,85.853,81.589,81.589,81.589,82.752,82.171,83.333,83.333,83.333,83.140,82.752,81.589,81.395,81.589,81.977,81.977,81.977,81.008,80.620,81.202,81.977,86.822
RMNH.INS.1271310_An_claviger - ND6 CDS,86.476,86.476,86.286,74.118,74.314,74.314,78.805,78.805,78.805,78.682,78.682,78.295,,99.619,99.810,79.264,79.651,78.876,80.814,80.814,80.814,78.544,78.352,78.352,79.961,79.961,79.961,78.227,78.035,78.998,78.035,77.649,78.035,80.154,80.154,80.154,76.879,76.686,76.686,76.493,80.154,76.686,78.613,78.613,78.613,77.264,78.682,79.576,79.383,79.576,85.524,85.524,85.524,78.682,78.682,81.008,81.008,81.008,78.736,78.736,78.736,78.352,78.352,78.805,75.915,75.915,79.576,78.227,78.227,78.035,79.191,79.191,79.383,79.191,76.493,76.493,76.493,78.227,77.842,78.227,78.352,79.769
RMNH.INS.1271311_An_claviger - ND6 CDS,86.286,86.286,86.095,73.922,74.118,74.118,78.420,78.420,78.420,78.488,78.488,78.101,99.619,,99.810,79.070,79.457,78.682,80.620,80.620,80.620,78.161,77.969,77.969,79.769,79.769,79.769,77.842,77.649,78.613,77.649,77.264,77.649,79.961,79.961,79.961,76.686,76.493,76.493,76.108,79.961,76.301,78.420,78.420,78.420,77.071,78.488,79.191,78.998,79.191,85.143,85.143,85.143,78.488,78.488,80.814,80.814,80.814,78.544,78.544,78.544,77.969,77.969,78.420,75.723,75.723,79.191,77.842,77.842,77.649,78.805,78.998,79.191,78.998,76.108,76.108,76.108,78.035,77.649,78.035,77.969,79.383
RMNH.INS.1271312_An_claviger - ND6 CDS,86.476,86.476,86.286,74.118,74.314,74.314,78.613,78.613,78.613,78.682,78.682,78.295,99.810,99.810,,79.264,79.651,78.876,80.814,80.814,80.814,78.352,78.161,78.161,79.961,79.961,79.961,78.035,77.842,78.805,77.842,77.457,77.842,80.154,80.154,80.154,76.879,76.686,76.686,76.301,80.154,76.493,78.613,78.613,78.613,77.264,78.682,79.383,79.191,79.383,85.333,85.333,85.333,78.682,78.682,81.008,81.008,81.008,78.736,78.736,78.736,78.161,78.161,78.613,75.915,75.915,79.383,78.035,78.035,77.842,78.998,79.191,79.383,79.191,76.301,76.301,76.301,78.227,77.842,78.227,78.161,79.576
RMNH.INS.1271313_Cx_modestus - ND6 CDS,79.651,79.457,79.457,73.725,73.922,74.118,81.395,81.395,81.589,84.884,84.884,84.302,79.264,79.070,79.264,,97.868,97.674,87.209,87.209,87.209,83.915,83.721,83.721,82.752,82.752,82.752,81.008,81.202,80.814,81.008,80.426,80.233,82.752,82.946,82.752,79.457,79.264,79.264,78.101,82.752,78.295,81.589,81.589,81.589,82.946,84.884,81.395,81.589,81.395,79.651,79.651,79.651,84.884,84.884,91.085,91.085,91.085,82.558,82.364,82.558,81.589,81.589,81.589,81.783,81.395,81.395,81.589,81.589,81.395,80.620,80.426,80.426,80.426,81.202,81.202,81.202,79.264,79.070,79.845,83.721,83.721
RMNH.INS.1271314_Cx_modestus - ND6 CDS,79.457,79.264,79.264,72.941,73.137,73.333,81.395,81.395,81.589,84.496,84.496,83.915,79.651,79.457,79.651,97.868,,99.031,87.597,87.597,87.597,83.140,82.946,82.946,82.558,82.558,82.558,80.620,80.814,80.426,80.620,80.039,79.845,82.558,82.752,82.558,79.651,79.457,79.457,77.713,82.558,77.907,81.395,81.395,81.395,82.558,84.496,81.202,81.395,81.202,80.039,80.039,80.039,84.496,84.496,90.891,90.891,90.891,81.783,81.977,81.783,81.589,81.589,81.589,81.589,81.202,81.202,81.589,81.589,81.395,80.233,80.426,80.426,80.426,80.620,80.620,80.620,79.070,78.876,79.264,82.946,82.946
RMNH.INS.1271315_Cx_modestus - ND6 CDS,78.682,78.488,78.488,72.549,72.745,72.941,80.814,80.814,81.008,84.109,84.109,83.527,78.876,78.682,78.876,97.674,99.031,,87.016,87.016,87.016,82.946,82.752,82.752,82.171,82.171,82.171,80.039,80.233,79.845,80.039,79.457,79.264,81.977,82.171,81.977,79.070,78.876,78.876,77.132,81.977,77.326,80.814,80.814,80.814,82.171,84.109,80.620,80.814,80.620,79.651,79.651,79.651,84.109,84.109,90.310,90.310,90.310,81.395,81.589,81.395,80.814,80.814,80.814,81.008,80.620,80.620,81.008,81.008,80.814,79.651,79.651,79.651,79.651,80.426,80.426,80.426,78.488,78.295,78.682,82.752,82.558
RMNH.INS.1271316_Cx_territans - ND6 CDS,78.488,78.488,78.295,76.078,76.275,76.078,81.977,81.977,82.171,85.659,85.659,84.884,80.814,80.620,80.814,87.209,87.597,87.016,,100.000,100.000,82.364,82.171,82.171,82.752,82.752,82.752,83.527,83.527,83.333,83.527,82.752,82.752,82.946,82.946,82.946,80.426,80.233,80.233,78.488,82.946,78.682,82.752,82.752,82.752,84.690,85.659,83.333,83.527,83.333,82.171,82.171,82.171,85.659,85.659,89.147,89.147,89.147,84.109,84.302,84.109,83.140,83.140,83.140,83.140,82.946,83.333,82.752,82.752,82.558,82.752,81.202,81.202,81.202,82.364,82.364,82.364,82.171,82.171,82.364,82.171,85.271
RMNH.INS.1271317_Cx_territans - ND6 CDS,78.488,78.488,78.295,76.078,76.275,76.078,81.977,81.977,82.171,85.659,85.659,84.884,80.814,80.620,80.814,87.209,87.597,87.016,100.000,,100.000,82.364,82.171,82.171,82.752,82.752,82.752,83.527,83.527,83.333,83.527,82.752,82.752,82.946,82.946,82.946,80.426,80.233,80.233,78.488,82.946,78.682,82.752,82.752,82.752,84.690,85.659,83.333,83.527,83.333,82.171,82.171,82.171,85.659,85.659,89.147,89.147,89.147,84.109,84.302,84.109,83.140,83.140,83.140,83.140,82.946,83.333,82.752,82.752,82.558,82.752,81.202,81.202,81.202,82.364,82.364,82.364,82.171,82.171,82.364,82.171,85.271
RMNH.INS.1271318_Cx_territans - ND6 CDS,78.488,78.488,78.295,76.078,76.275,76.078,81.977,81.977,82.171,85.659,85.659,84.884,80.814,80.620,80.814,87.209,87.597,87.016,100.000,100.000,,82.364,82.171,82.171,82.752,82.752,82.752,83.527,83.527,83.333,83.527,82.752,82.752,82.946,82.946,82.946,80.426,80.233,80.233,78.488,82.946,78.682,82.752,82.752,82.752,84.690,85.659,83.333,83.527,83.333,82.171,82.171,82.171,85.659,85.659,89.147,89.147,89.147,84.109,84.302,84.109,83.140,83.140,83.140,83.140,82.946,83.333,82.752,82.752,82.558,82.752,81.202,81.202,81.202,82.364,82.364,82.364,82.171,82.171,82.364,82.171,85.271
RMNH.INS.1271319_Ae_cinereus_geminus - ND6 CDS,77.778,77.778,77.586,73.333,73.529,73.725,89.403,89.403,89.595,82.946,82.946,82.171,78.544,78.161,78.352,83.915,83.140,82.946,82.364,82.364,82.364,,99.808,99.808,81.503,81.503,81.503,88.054,87.861,88.439,87.861,87.091,87.283,89.981,89.788,89.981,85.742,85.549,85.549,84.393,89.981,84.586,87.861,87.861,87.861,82.274,82.946,88.632,88.439,88.632,79.885,79.885,79.885,82.946,82.946,83.140,83.140,83.140,85.057,85.057,85.057,85.632,85.632,85.742,87.669,87.476,88.439,88.054,88.054,87.861,88.825,84.393,84.393,84.393,85.356,85.356,85.356,85.164,85.164,85.549,99.808,85.164
RMNH.INS.1271320_Ae_cinereus_geminus - ND6 CDS,77.586,77.586,77.395,73.137,73.333,73.529,89.210,89.210,89.403,82.752,82.752,81.977,78.352,77.969,78.161,83.721,82.946,82.752,82.171,82.171,82.171,99.808,,100.000,81.310,81.310,81.310,87.861,87.669,88.247,87.669,86.898,87.091,89.788,89.595,89.788,85.549,85.356,85.356,84.586,89.788,84.778,87.669,87.669,87.669,82.081,82.752,88.439,88.247,88.439,79.693,79.693,79.693,82.752,82.752,82.946,82.946,82.946,84.866,84.866,84.866,85.441,85.441,85.549,87.476,87.283,88.247,87.861,87.861,87.669,88.632,84.200,84.200,84.200,85.164,85.164,85.164,84.971,84.971,85.356,100.000,84.971
RMNH.INS.1271321_Ae_cinereus_geminus - ND6 CDS,77.586,77.586,77.395,73.137,73.333,73.529,89.210,89.210,89.403,82.752,82.752,81.977,78.352,77.969,78.161,83.721,82.946,82.752,82.171,82.171,82.171,99.808,100.000,,81.310,81.310,81.310,87.861,87.669,88.247,87.669,86.898,87.091,89.788,89.595,89.788,85.549,85.356,85.356,84.586,89.788,84.778,87.669,87.669,87.669,82.081,82.752,88.439,88.247,88.439,79.693,79.693,79.693,82.752,82.752,82.946,82.946,82.946,84.866,84.866,84.866,85.441,85.441,85.549,87.476,87.283,88.247,87.861,87.861,87.669,88.632,84.200,84.200,84.200,85.164,85.164,85.164,84.971,84.971,85.356,100.000,84.971
RMNH.INS.1271322_Cs_longiareolata - ND6 CDS,79.191,79.191,78.998,75.686,75.882,75.882,81.888,81.888,82.081,84.496,84.496,83.721,79.961,79.769,79.961,82.752,82.558,82.171,82.752,82.752,82.752,81.503,81.310,81.310,,100.000,100.000,81.503,81.118,81.118,81.310,80.347,80.347,82.659,82.659,82.659,80.539,80.347,80.347,78.998,82.659,79.191,81.503,81.503,81.503,83.044,84.496,81.503,81.696,81.503,79.961,79.961,79.961,84.496,84.496,81.783,81.783,81.783,83.237,83.044,83.237,79.769,79.769,79.961,83.622,83.044,81.503,81.888,81.888,81.696,81.118,79.191,79.191,79.191,79.576,79.576,79.576,78.998,78.420,79.576,81.310,84.971
RMNH.INS.1271323_Cs_longiareolata - ND6 CDS,79.191,79.191,78.998,75.686,75.882,75.882,81.888,81.888,82.081,84.496,84.496,83.721,79.961,79.769,79.961,82.752,82.558,82.171,82.752,82.752,82.752,81.503,81.310,81.310,100.000,,100.000,81.503,81.118,81.118,81.310,80.347,80.347,82.659,82.659,82.659,80.539,80.347,80.347,78.998,82.659,79.191,81.503,81.503,81.503,83.044,84.496,81.503,81.696,81.503,79.961,79.961,79.961,84.496,84.496,81.783,81.783,81.783,83.237,83.044,83.237,79.769,79.769,79.961,83.622,83.044,81.503,81.888,81.888,81.696,81.118,79.191,79.191,79.191,79.576,79.576,79.576,78.998,78.420,79.576,81.310,84.971
