,RMNH.INS.1271298_An_messeae - COX1 gene,RMNH.INS.1271299_An_messeae - COX1 gene,RMNH.INS.1271300_An_messeae - COX1 gene,RMNH.INS.1271301_Cq_richiardii - COX1 gene,RMNH.INS.1271302_Cq_richiardii - COX1 gene,RMNH.INS.1271303_Cq_richiardii - COX1 gene,RMNH.INS.1271304_Ae_vexans - COX1 gene,RMNH.INS.1271305_Ae_vexans - COX1 gene,RMNH.INS.1271306_Ae_vexans - COX1 gene,RMNH.INS.1271307_Cs_annulata - COX1 gene,RMNH.INS.1271308_Cs_annulata - COX1 gene,RMNH.INS.1271309_Cs_annulata - COX1 gene,RMNH.INS.1271310_An_claviger - COX1 gene,RMNH.INS.1271311_An_claviger - COX1 gene,RMNH.INS.1271312_An_claviger - COX1 gene,RMNH.INS.1271313_Cx_modestus - COX1 gene,RMNH.INS.1271314_Cx_modestus - COX1 gene,RMNH.INS.1271315_Cx_modestus - COX1 gene,RMNH.INS.1271316_Cx_territans - COX1 gene,RMNH.INS.1271317_Cx_territans - COX1 gene,RMNH.INS.1271318_Cx_territans - COX1 gene,RMNH.INS.1271319_Ae_cinereus - COX1 gene,RMNH.INS.1271320_Ae_cinereus - COX1 gene,RMNH.INS.1271321_Ae_cinereus - COX1 gene,RMNH.INS.1271322_Cs_longiareolata - COX1 gene,RMNH.INS.1271323_Cs_longiareolata - COX1 gene,RMNH.INS.1271324_Cs_longiareolata - COX1 gene,RMNH.INS.1271325_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271326_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271327_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271328_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271329_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271330_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271331_Ae_rusticus - COX1 gene,RMNH.INS.1271332_Ae_rusticus - COX1 gene,RMNH.INS.1271333_Ae_rusticus - COX1 gene,RMNH.INS.1271334_Ae_communis - COX1 gene,RMNH.INS.1271335_Ae_communis - COX1 gene,RMNH.INS.1271336_Ae_communis - COX1 gene,RMNH.INS.1271337_Ae_punctor - COX1 gene,RMNH.INS.1271338_Ae_rusticus - COX1 gene,RMNH.INS.1271339_Ae_punctor - COX1 gene,RMNH.INS.1271340_Ae_geniculatus - COX1 gene,RMNH.INS.1271341_Ae_geniculatus - COX1 gene,RMNH.INS.1271342_Ae_geniculatus - COX1 gene,RMNH.INS.1271344_Cs_subochrea - COX1 gene,RMNH.INS.1271345_Cs_annulata - COX1 gene,RMNH.INS.1271346_Ae_caspius - COX1 gene,RMNH.INS.1271347_Ae_caspius - COX1 gene,RMNH.INS.1271348_Ae_caspius - COX1 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271352_Cs_annulata - COX1 gene,RMNH.INS.1271354_Cs_annulata - COX1 gene,RMNH.INS.1271355_Cx_pipiens - COX1 gene,RMNH.INS.1271356_Cx_pipiens - COX1 gene,RMNH.INS.1271357_Cx_pipiens - COX1 gene,RMNH.INS.1271358_Cs_morsitans - COX1 gene,RMNH.INS.1271359_Cs_morsitans - COX1 gene,RMNH.INS.1271360_Cs_morsitans - COX1 gene,RMNH.INS.1271361_Ae_sticticus - COX1 gene,RMNH.INS.1271362_Ae_sticticus - COX1 gene,RMNH.INS.1271363_Ae_sticticus - COX1 gene,RMNH.INS.1271367_Ae_detritus - COX1 gene,RMNH.INS.1271368_Ae_detritus - COX1 gene,RMNH.INS.1271369_Ae_caspius - COX1 gene,RMNH.INS.1271370_Ae_flavescens - COX1 gene,RMNH.INS.1271371_Ae_flavescens - COX1 gene,RMNH.INS.1271372_Ae_flavescens - COX1 gene,RMNH.INS.1271375_Ae_leucomelas - COX1 gene,RMNH.INS.1271376_Ae_albopictus - COX1 gene,RMNH.INS.1271377_Ae_albopictus - COX1 gene,RMNH.INS.1271378_Ae_albopictus - COX1 gene,RMNH.INS.1271379_Ae_japonicus - COX1 gene,RMNH.INS.1271380_Ae_japonicus - COX1 gene,RMNH.INS.1271381_Ae_japonicus - COX1 gene,RMNH.INS.1271382_Ae_aegypti - COX1 gene,RMNH.INS.1271383_Ae_aegypti - COX1 gene,RMNH.INS.1271384_Ae_aegypti - COX1 gene,RMNH.INS.1271386_Ae_cinereus - COX1 gene,RMNH.INS.1271389_Cs_ochroptera - COX1 gene
RMNH.INS.1271308_Cs_annulata - COX1 gene,87.082,87.234,86.778,85.41,85.258,85.258,87.082,87.234,87.082,99.848,,99.848,84.347,84.347,84.347,87.538,86.778,86.93,88.602,88.45,88.602,85.41,85.41,85.41,88.906,88.906,88.906,84.802,85.258,85.714,84.65,85.562,85.562,89.666,89.362,89.362,87.234,87.234,87.234,86.626,89.362,86.626,86.93,86.93,86.93,96.353,100,87.69,87.994,88.146,84.65,84.65,84.65,100,100,87.69,87.69,87.842,88.298,87.994,87.994,87.538,87.538,87.538,87.69,87.842,87.994,86.322,86.322,86.018,87.994,85.714,85.714,85.562,85.41,85.41,85.866,83.435,84.65,84.498,85.258,89.97
RMNH.INS.1271309_Cs_annulata - COX1 gene,86.93,87.082,86.626,85.258,85.106,85.106,87.082,87.234,87.082,99.696,99.848,,84.347,84.347,84.347,87.538,86.93,87.082,88.45,88.298,88.45,85.41,85.41,85.41,88.906,88.906,88.906,84.802,85.258,85.714,84.65,85.562,85.562,89.666,89.362,89.362,87.234,87.234,87.234,86.626,89.362,86.626,86.93,86.93,86.93,96.201,99.848,87.69,87.994,88.146,84.65,84.65,84.65,99.848,99.848,87.69,87.69,87.842,88.298,87.994,87.994,87.538,87.538,87.538,87.69,87.842,87.994,86.322,86.322,86.018,87.994,85.562,85.562,85.41,85.41,85.41,85.866,83.283,84.498,84.347,85.258,89.97
RMNH.INS.1271310_An_claviger - COX1 gene,88.906,88.754,88.298,84.043,84.043,84.043,84.954,85.106,84.954,84.498,84.347,84.347,,100,100,87.234,86.018,86.018,84.498,84.347,84.195,83.435,83.435,83.435,84.347,84.347,84.347,84.65,84.954,85.258,84.802,85.106,84.954,86.17,85.866,85.866,86.322,86.322,86.322,84.802,85.866,84.802,87.234,87.234,87.234,83.891,84.347,86.626,86.93,86.626,86.474,86.474,86.474,84.347,84.347,87.234,87.234,87.082,84.195,84.195,84.195,86.322,86.322,86.322,85.562,85.562,87.082,84.802,84.802,84.498,86.778,83.283,83.283,83.131,84.347,84.347,84.498,82.219,83.131,82.979,83.283,84.498
RMNH.INS.1271311_An_claviger - COX1 gene,88.906,88.754,88.298,84.043,84.043,84.043,84.954,85.106,84.954,84.498,84.347,84.347,100,,100,87.234,86.018,86.018,84.498,84.347,84.195,83.435,83.435,83.435,84.347,84.347,84.347,84.65,84.954,85.258,84.802,85.106,84.954,86.17,85.866,85.866,86.322,86.322,86.322,84.802,85.866,84.802,87.234,87.234,87.234,83.891,84.347,86.626,86.93,86.626,86.474,86.474,86.474,84.347,84.347,87.234,87.234,87.082,84.195,84.195,84.195,86.322,86.322,86.322,85.562,85.562,87.082,84.802,84.802,84.498,86.778,83.283,83.283,83.131,84.347,84.347,84.498,82.219,83.131,82.979,83.283,84.498
RMNH.INS.1271312_An_claviger - COX1 gene,88.906,88.754,88.298,84.043,84.043,84.043,84.954,85.106,84.954,84.498,84.347,84.347,100,100,,87.234,86.018,86.018,84.498,84.347,84.195,83.435,83.435,83.435,84.347,84.347,84.347,84.65,84.954,85.258,84.802,85.106,84.954,86.17,85.866,85.866,86.322,86.322,86.322,84.802,85.866,84.802,87.234,87.234,87.234,83.891,84.347,86.626,86.93,86.626,86.474,86.474,86.474,84.347,84.347,87.234,87.234,87.082,84.195,84.195,84.195,86.322,86.322,86.322,85.562,85.562,87.082,84.802,84.802,84.498,86.778,83.283,83.283,83.131,84.347,84.347,84.498,82.219,83.131,82.979,83.283,84.498
RMNH.INS.1271313_Cx_modestus - COX1 gene,87.842,87.994,87.386,87.386,87.234,87.234,88.906,89.058,88.906,87.69,87.538,87.538,87.234,87.234,87.234,,98.328,98.328,88.602,88.45,88.298,86.93,86.93,86.93,89.666,89.666,89.666,84.65,84.954,85.258,84.498,85.41,85.258,89.362,89.058,89.058,87.69,87.69,87.69,86.322,89.058,86.322,87.538,87.538,87.538,87.386,87.538,88.298,88.906,88.602,84.65,84.65,84.65,87.538,87.538,94.681,94.681,94.529,87.234,87.082,87.082,87.994,87.994,87.994,88.602,89.514,89.058,85.258,85.258,84.954,87.538,86.474,86.474,86.322,86.626,86.626,87.082,85.41,86.626,86.018,86.778,88.45
RMNH.INS.1271314_Cx_modestus - COX1 gene,87.386,87.538,86.93,86.626,86.474,86.474,88.146,88.298,88.146,86.93,86.778,86.93,86.018,86.018,86.018,98.328,,99.696,87.994,87.842,87.69,86.17,86.17,86.17,88.906,88.906,88.906,84.043,84.347,84.347,83.891,84.802,84.65,88.298,87.994,87.994,86.626,86.626,86.626,85.41,87.994,85.41,86.778,86.778,86.778,86.626,86.778,87.386,87.994,87.69,84.347,84.347,84.347,86.778,86.778,94.073,94.073,93.921,86.626,86.474,86.474,87.386,87.386,87.386,87.538,88.45,88.146,84.802,84.802,84.498,86.626,86.17,86.17,86.018,85.866,85.866,86.322,84.65,86.17,85.866,86.018,87.994
RMNH.INS.1271315_Cx_modestus - COX1 gene,87.386,87.538,86.93,86.626,86.474,86.474,88.298,88.45,88.298,87.082,86.93,87.082,86.018,86.018,86.018,98.328,99.696,,87.994,87.842,87.69,86.474,86.474,86.474,88.602,88.602,88.602,83.739,84.043,84.347,83.587,84.498,84.347,88.45,88.146,88.146,86.626,86.626,86.626,85.41,88.146,85.41,86.778,86.778,86.778,86.778,86.93,87.386,87.994,87.69,84.498,84.498,84.498,86.93,86.93,94.073,94.073,93.921,86.778,86.626,86.626,87.386,87.386,87.386,87.538,88.45,88.146,84.65,84.65,84.347,86.626,86.322,86.322,86.17,85.866,85.866,86.322,84.65,85.866,85.562,86.322,88.146
RMNH.INS.1271316_Cx_territans - COX1 gene,86.17,86.322,86.322,85.562,85.562,85.562,86.322,86.474,86.322,88.602,88.602,88.45,84.498,84.498,84.498,88.602,87.994,87.994,,99.848,99.696,85.866,85.866,85.866,85.866,85.866,85.866,85.562,85.866,86.018,85.41,85.866,85.714,87.842,87.538,87.538,88.146,88.146,88.146,86.93,87.538,86.93,86.778,86.778,86.778,87.69,88.602,86.778,87.082,86.93,83.739,83.739,83.739,88.602,88.602,87.69,87.69,87.538,86.626,86.626,86.626,87.234,87.234,87.234,87.386,87.386,87.234,85.714,85.714,85.41,86.322,85.562,85.562,85.41,85.866,85.866,86.322,84.954,86.018,85.41,85.714,85.562
RMNH.INS.1271317_Cx_territans - COX1 gene,86.018,86.17,86.17,85.41,85.41,85.41,86.17,86.322,86.17,88.45,88.45,88.298,84.347,84.347,84.347,88.45,87.842,87.842,99.848,,99.848,85.714,85.714,85.714,85.714,85.714,85.714,85.41,85.714,85.866,85.258,85.714,85.562,87.69,87.386,87.386,87.994,87.994,87.994,86.778,87.386,86.778,86.626,86.626,86.626,87.538,88.45,86.626,86.93,86.778,83.891,83.891,83.891,88.45,88.45,87.538,87.538,87.386,86.474,86.474,86.474,87.386,87.386,87.386,87.234,87.234,87.082,85.714,85.714,85.41,86.17,85.714,85.714,85.562,85.714,85.714,86.17,84.802,85.866,85.562,85.562,85.41
RMNH.INS.1271318_Cx_territans - COX1 gene,86.17,86.322,86.322,85.258,85.258,85.258,86.018,86.17,86.018,88.602,88.602,88.45,84.195,84.195,84.195,88.298,87.69,87.69,99.696,99.848,,85.562,85.562,85.562,85.562,85.562,85.562,85.258,85.562,85.714,85.106,85.562,85.41,87.538,87.234,87.234,87.842,87.842,87.842,86.626,87.234,86.626,86.474,86.474,86.474,87.386,88.602,86.474,86.778,86.626,84.043,84.043,84.043,88.602,88.602,87.386,87.386,87.234,86.322,86.322,86.322,87.234,87.234,87.234,87.082,87.082,86.93,85.562,85.562,85.258,86.018,85.562,85.562,85.41,85.562,85.562,86.018,84.65,85.714,85.41,85.41,85.562
RMNH.INS.1271319_Ae_cinereus - COX1 gene,86.018,86.17,85.866,83.891,83.739,83.739,88.298,88.45,88.298,85.41,85.41,85.41,83.435,83.435,83.435,86.93,86.17,86.474,85.866,85.714,85.562,,100,100,86.17,86.17,86.17,85.258,85.562,85.866,85.106,85.562,85.106,89.21,88.906,88.906,86.474,86.474,86.474,85.866,88.906,85.866,86.17,86.17,86.17,85.258,85.41,87.538,87.994,87.69,84.347,84.347,84.347,85.41,85.41,87.842,87.842,87.69,85.714,86.018,86.018,87.386,87.386,87.386,85.714,86.018,88.146,85.41,85.41,85.106,86.626,87.082,87.082,87.082,86.626,86.626,86.778,87.69,88.602,88.298,99.848,85.106
RMNH.INS.1271320_Ae_cinereus - COX1 gene,86.018,86.17,85.866,83.891,83.739,83.739,88.298,88.45,88.298,85.41,85.41,85.41,83.435,83.435,83.435,86.93,86.17,86.474,85.866,85.714,85.562,100,,100,86.17,86.17,86.17,85.258,85.562,85.866,85.106,85.562,85.106,89.21,88.906,88.906,86.474,86.474,86.474,85.866,88.906,85.866,86.17,86.17,86.17,85.258,85.41,87.538,87.994,87.69,84.347,84.347,84.347,85.41,85.41,87.842,87.842,87.69,85.714,86.018,86.018,87.386,87.386,87.386,85.714,86.018,88.146,85.41,85.41,85.106,86.626,87.082,87.082,87.082,86.626,86.626,86.778,87.69,88.602,88.298,99.848,85.106
RMNH.INS.1271321_Ae_cinereus - COX1 gene,86.018,86.17,85.866,83.891,83.739,83.739,88.298,88.45,88.298,85.41,85.41,85.41,83.435,83.435,83.435,86.93,86.17,86.474,85.866,85.714,85.562,100,100,,86.17,86.17,86.17,85.258,85.562,85.866,85.106,85.562,85.106,89.21,88.906,88.906,86.474,86.474,86.474,85.866,88.906,85.866,86.17,86.17,86.17,85.258,85.41,87.538,87.994,87.69,84.347,84.347,84.347,85.41,85.41,87.842,87.842,87.69,85.714,86.018,86.018,87.386,87.386,87.386,85.714,86.018,88.146,85.41,85.41,85.106,86.626,87.082,87.082,87.082,86.626,86.626,86.778,87.69,88.602,88.298,99.848,85.106
RMNH.INS.1271322_Cs_longiareolata - COX1 gene,86.018,86.17,85.866,86.474,86.322,86.322,88.146,88.298,88.146,89.058,88.906,88.906,84.347,84.347,84.347,89.666,88.906,88.602,85.866,85.714,85.562,86.17,86.17,86.17,,100,100,85.714,85.714,85.714,85.562,86.018,85.866,89.21,88.906,88.906,87.842,87.842,87.842,86.322,88.906,86.322,87.538,87.538,87.538,87.994,88.906,88.45,89.058,88.754,84.65,84.65,84.65,88.906,88.906,89.362,89.362,89.21,87.386,87.234,87.234,87.386,87.386,87.386,87.69,88.146,89.058,85.41,85.41,85.106,86.474,85.41,85.41,85.258,85.866,85.866,86.322,84.802,85.866,85.714,86.018,88.298
RMNH.INS.1271323_Cs_longiareolata - COX1 gene,86.018,86.17,85.866,86.474,86.322,86.322,88.146,88.298,88.146,89.058,88.906,88.906,84.347,84.347,84.347,89.666,88.906,88.602,85.866,85.714,85.562,86.17,86.17,86.17,100,,100,85.714,85.714,85.714,85.562,86.018,85.866,89.21,88.906,88.906,87.842,87.842,87.842,86.322,88.906,86.322,87.538,87.538,87.538,87.994,88.906,88.45,89.058,88.754,84.65,84.65,84.65,88.906,88.906,89.362,89.362,89.21,87.386,87.234,87.234,87.386,87.386,87.386,87.69,88.146,89.058,85.41,85.41,85.106,86.474,85.41,85.41,85.258,85.866,85.866,86.322,84.802,85.866,85.714,86.018,88.298
