,RMNH.INS.1271298_An_messeae - COX3 CDS,RMNH.INS.1271299_An_messeae - COX3 CDS,RMNH.INS.1271300_An_messeae - COX3 CDS,RMNH.INS.1271301_Cq_richiardii - COX3 CDS,RMNH.INS.1271302_Cq_richiardii - COX3 CDS,RMNH.INS.1271303_Cq_richiardii - COX3 CDS,RMNH.INS.1271304_Ae_vexans - COX3 CDS,RMNH.INS.1271305_Ae_vexans - COX3 CDS,RMNH.INS.1271306_Ae_vexans - COX3 CDS,RMNH.INS.1271307_Cs_annulata - COX3 CDS,RMNH.INS.1271308_Cs_annulata - COX3 CDS,RMNH.INS.1271309_Cs_annulata - COX3 CDS,RMNH.INS.1271310_An_claviger - COX3 CDS,RMNH.INS.1271311_An_claviger - COX3 CDS,RMNH.INS.1271312_An_claviger - COX3 CDS,RMNH.INS.1271313_Cx_modestus - COX3 CDS,RMNH.INS.1271314_Cx_modestus - COX3 CDS,RMNH.INS.1271315_Cx_modestus - COX3 CDS,RMNH.INS.1271316_Cx_territans - COX3 CDS,RMNH.INS.1271317_Cx_territans - COX3 CDS,RMNH.INS.1271318_Cx_territans - COX3 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271322_Cs_longiareolata - COX3 CDS,RMNH.INS.1271323_Cs_longiareolata - COX3 CDS,RMNH.INS.1271324_Cs_longiareolata - COX3 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271331_Ae_rusticus - COX3 CDS,RMNH.INS.1271332_Ae_rusticus - COX3 CDS,RMNH.INS.1271333_Ae_rusticus - COX3 CDS,RMNH.INS.1271334_Ae_communis - COX3 CDS,RMNH.INS.1271335_Ae_communis - COX3 CDS,RMNH.INS.1271336_Ae_communis - COX3 CDS,RMNH.INS.1271337_Ae_punctor - COX3 CDS,RMNH.INS.1271338_Ae_rusticus - COX3 CDS,RMNH.INS.1271339_Ae_punctor - COX3 CDS,RMNH.INS.1271340_Ae_geniculatus - COX3 CDS,RMNH.INS.1271341_Ae_geniculatus - COX3 CDS,RMNH.INS.1271342_Ae_geniculatus - COX3 CDS,RMNH.INS.1271344_Cs_subochrea - COX3 CDS,RMNH.INS.1271345_Cs_annulata - COX3 CDS,RMNH.INS.1271346_Ae_caspius - COX3 CDS,RMNH.INS.1271347_Ae_caspius - COX3 CDS,RMNH.INS.1271348_Ae_caspius - COX3 CDS,RMNH.INS.1271349_An_plumbeus - COX3 CDS,RMNH.INS.1271350_An_plumbeus - COX3 CDS,RMNH.INS.1271351_An_plumbeus - COX3 CDS,RMNH.INS.1271352_Cs_annulata - COX3 CDS,RMNH.INS.1271354_Cs_annulata - COX3 CDS,RMNH.INS.1271355_Cx_pipiens - COX3 CDS,RMNH.INS.1271356_Cx_pipiens - COX3 CDS,RMNH.INS.1271357_Cx_pipiens - COX3 CDS,RMNH.INS.1271358_Cs_morsitans - COX3 CDS,RMNH.INS.1271359_Cs_morsitans - COX3 CDS,RMNH.INS.1271360_Cs_morsitans - COX3 CDS,RMNH.INS.1271361_Ae_sticticus - COX3 CDS,RMNH.INS.1271362_Ae_sticticus - COX3 CDS,RMNH.INS.1271363_Ae_sticticus - COX3 CDS,RMNH.INS.1271367_Ae_detritus - COX3 CDS,RMNH.INS.1271368_Ae_detritus - COX3 CDS,RMNH.INS.1271369_Ae_caspius - COX3 CDS,RMNH.INS.1271370_Ae_flavescens - COX3 CDS,RMNH.INS.1271371_Ae_flavescens - COX3 CDS,RMNH.INS.1271372_Ae_flavescens - COX3 CDS,RMNH.INS.1271375_Ae_leucomelas - COX3 CDS,RMNH.INS.1271376_Ae_albopictus - COX3 CDS,RMNH.INS.1271377_Ae_albopictus - COX3 CDS,RMNH.INS.1271378_Ae_albopictus - COX3 CDS,RMNH.INS.1271379_Ae_japonicus - COX3 CDS,RMNH.INS.1271380_Ae_japonicus - COX3 CDS,RMNH.INS.1271381_Ae_japonicus - COX3 CDS,RMNH.INS.1271382_Ae_aegypti - COX3 CDS,RMNH.INS.1271383_Ae_aegypti - COX3 CDS,RMNH.INS.1271384_Ae_aegypti - COX3 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271389_Cs_ochroptera - COX3 CDS
RMNH.INS.1271308_Cs_annulata - COX3 CDS,85.678,85.932,85.932,85.932,85.932,86.185,87.199,87.072,87.326,99.873,,99.873,85.932,85.932,85.932,88.086,88.086,88.213,85.551,85.551,85.551,87.072,86.819,86.819,89.987,89.987,89.987,87.833,87.452,87.452,87.706,87.833,87.706,86.946,87.072,87.072,85.678,85.425,85.425,85.551,87.072,85.551,86.058,86.058,86.058,95.437,100.000,87.072,87.452,86.946,85.932,85.932,85.932,100.000,100.000,87.959,87.833,87.579,87.959,87.959,87.959,86.946,86.946,87.072,86.819,86.946,87.452,87.072,87.072,87.199,86.439,87.579,87.579,87.579,85.678,85.678,85.678,87.326,87.072,87.072,87.072,88.593
RMNH.INS.1271309_Cs_annulata - COX3 CDS,85.805,86.058,86.058,86.058,86.058,86.312,87.326,87.199,87.452,99.747,99.873,,86.058,86.058,86.058,88.213,88.213,88.340,85.678,85.678,85.678,87.199,86.946,86.946,90.114,90.114,90.114,87.959,87.579,87.579,87.833,87.959,87.833,87.072,87.199,87.199,85.805,85.551,85.551,85.678,87.199,85.678,86.185,86.185,86.185,95.564,99.873,87.199,87.579,87.072,86.058,86.058,86.058,99.873,99.873,88.086,87.959,87.706,88.086,88.086,88.086,87.072,87.072,87.199,86.946,87.072,87.579,87.199,87.199,87.326,86.565,87.706,87.706,87.706,85.805,85.805,85.805,87.199,86.946,86.946,87.199,88.720
RMNH.INS.1271310_An_claviger - COX3 CDS,89.686,89.937,89.811,83.270,83.270,83.397,84.791,84.664,84.918,86.058,85.932,86.058,,99.748,99.623,84.411,84.664,85.044,84.151,84.151,84.151,83.397,83.143,83.016,85.044,85.044,85.044,84.537,84.411,84.537,84.411,84.284,84.284,85.660,85.535,85.535,83.397,83.270,83.270,83.016,85.535,83.016,83.523,83.523,83.523,85.678,85.932,84.030,84.411,84.030,88.679,88.679,88.679,85.932,85.932,85.298,85.171,85.044,84.791,84.791,84.791,83.523,83.523,83.397,83.143,83.016,84.411,84.157,84.157,84.030,84.030,84.030,84.030,84.030,82.383,82.383,82.636,83.270,82.636,82.763,83.397,84.791
RMNH.INS.1271311_An_claviger - COX3 CDS,89.686,89.937,89.811,83.270,83.270,83.397,84.791,84.664,84.918,86.058,85.932,86.058,99.748,,99.623,84.411,84.411,84.791,84.151,84.151,84.151,83.397,83.143,83.016,85.044,85.044,85.044,84.537,84.411,84.537,84.411,84.284,84.284,85.660,85.535,85.535,83.397,83.270,83.270,83.016,85.535,83.016,83.523,83.523,83.523,85.678,85.932,84.030,84.411,84.030,88.679,88.679,88.679,85.932,85.932,85.298,85.171,85.044,84.791,84.791,84.791,83.523,83.523,83.397,83.143,83.016,84.411,84.157,84.157,84.030,84.030,84.030,84.030,84.030,82.383,82.383,82.636,83.270,82.636,82.763,83.397,84.791
RMNH.INS.1271312_An_claviger - COX3 CDS,89.811,90.063,89.937,83.143,83.143,83.270,84.918,84.791,85.044,86.058,85.932,86.058,99.623,99.623,,84.537,84.284,84.664,84.277,84.277,84.277,83.270,83.016,83.143,85.171,85.171,85.171,84.664,84.537,84.664,84.537,84.411,84.411,85.535,85.409,85.409,83.523,83.397,83.397,82.890,85.409,82.890,83.523,83.523,83.523,85.678,85.932,84.157,84.537,84.157,88.679,88.679,88.679,85.932,85.932,85.298,85.171,85.044,84.664,84.664,84.664,83.397,83.397,83.270,83.270,83.143,84.537,84.284,84.284,84.157,84.157,84.157,84.157,84.157,82.510,82.510,82.510,83.143,82.763,82.890,83.270,84.918
RMNH.INS.1271313_Cx_modestus - COX3 CDS,84.030,84.284,84.664,85.551,85.298,85.298,86.439,86.185,86.565,88.213,88.086,88.213,84.411,84.411,84.537,,98.606,98.479,89.480,89.607,89.480,84.791,84.537,84.664,86.819,86.819,86.819,88.340,88.213,87.072,88.213,87.452,87.959,86.565,86.439,86.439,86.058,85.678,85.678,85.805,86.439,85.805,87.579,87.579,87.579,87.452,88.086,87.326,87.959,87.326,84.664,84.664,84.664,88.086,88.086,94.043,93.916,93.916,87.072,87.072,87.072,86.185,86.185,86.058,87.452,87.199,87.959,86.819,86.819,86.946,87.579,85.932,85.932,85.932,87.833,87.833,87.579,86.692,86.439,86.312,84.791,87.833
RMNH.INS.1271314_Cx_modestus - COX3 CDS,84.284,84.537,84.664,85.171,84.918,85.171,86.692,86.692,86.819,88.213,88.086,88.213,84.664,84.411,84.284,98.606,,99.620,89.607,89.734,89.607,84.411,84.157,84.030,86.439,86.439,86.439,87.706,87.579,86.819,87.579,87.199,87.452,86.692,86.565,86.565,86.185,85.805,85.805,85.932,86.565,85.932,87.199,87.199,87.199,87.833,88.086,86.692,87.326,86.692,84.030,84.030,84.030,88.086,88.086,93.536,93.409,93.156,86.946,86.946,86.946,86.185,86.185,86.058,87.326,87.072,87.326,86.439,86.439,86.565,87.452,85.678,85.678,85.678,87.199,87.199,87.199,86.565,86.058,85.932,84.664,87.579
RMNH.INS.1271315_Cx_modestus - COX3 CDS,84.411,84.664,84.791,85.551,85.298,85.551,86.692,86.692,86.819,88.340,88.213,88.340,85.044,84.791,84.664,98.479,99.620,,89.607,89.734,89.607,84.537,84.284,84.157,86.439,86.439,86.439,87.833,87.706,86.946,87.706,87.326,87.579,86.819,86.692,86.692,86.312,85.932,85.932,85.551,86.692,85.551,86.946,86.946,86.946,87.959,88.213,86.819,87.452,86.819,84.284,84.284,84.284,88.213,88.213,93.790,93.663,93.409,87.199,87.199,87.199,86.312,86.312,86.185,87.452,87.199,87.452,86.565,86.565,86.692,87.579,85.805,85.805,85.805,87.452,87.452,87.452,86.565,86.058,85.932,84.791,87.706
RMNH.INS.1271316_Cx_territans - COX3 CDS,86.038,86.038,86.164,83.904,83.650,83.904,85.425,85.551,85.551,85.678,85.551,85.678,84.151,84.151,84.277,89.480,89.607,89.607,,99.874,100.000,86.439,86.185,86.312,86.819,86.819,86.819,87.579,87.706,87.072,87.452,86.819,86.819,86.164,86.289,86.289,86.185,85.932,85.932,85.044,86.289,85.044,85.932,85.932,85.932,86.692,85.551,86.946,87.072,86.946,84.780,84.780,84.780,85.551,85.551,89.607,89.480,89.354,86.439,86.439,86.439,86.692,86.692,86.565,86.185,85.678,87.072,87.199,87.199,87.326,87.199,85.298,85.298,85.298,86.312,86.312,86.312,85.551,84.918,85.425,86.692,87.326
RMNH.INS.1271317_Cx_territans - COX3 CDS,86.038,86.038,86.164,83.904,83.650,83.904,85.425,85.551,85.551,85.678,85.551,85.678,84.151,84.151,84.277,89.607,89.734,89.734,99.874,,99.874,86.439,86.185,86.312,86.819,86.819,86.819,87.579,87.706,87.072,87.452,86.819,86.819,86.164,86.289,86.289,86.185,85.932,85.932,85.044,86.289,85.044,85.932,85.932,85.932,86.692,85.551,86.946,87.072,86.946,84.906,84.906,84.906,85.551,85.551,89.607,89.480,89.354,86.439,86.439,86.439,86.692,86.692,86.565,86.185,85.678,87.072,87.199,87.199,87.326,87.199,85.298,85.298,85.298,86.312,86.312,86.312,85.425,84.791,85.298,86.692,87.326
RMNH.INS.1271318_Cx_territans - COX3 CDS,86.038,86.038,86.164,83.904,83.650,83.904,85.425,85.551,85.551,85.678,85.551,85.678,84.151,84.151,84.277,89.480,89.607,89.607,100.000,99.874,,86.439,86.185,86.312,86.819,86.819,86.819,87.579,87.706,87.072,87.452,86.819,86.819,86.164,86.289,86.289,86.185,85.932,85.932,85.044,86.289,85.044,85.932,85.932,85.932,86.692,85.551,86.946,87.072,86.946,84.780,84.780,84.780,85.551,85.551,89.607,89.480,89.354,86.439,86.439,86.439,86.692,86.692,86.565,86.185,85.678,87.072,87.199,87.199,87.326,87.199,85.298,85.298,85.298,86.312,86.312,86.312,85.551,84.918,85.425,86.692,87.326
RMNH.INS.1271319_Ae_cinereus_geminus - COX3 CDS,83.650,83.777,84.030,85.805,85.551,85.805,89.354,89.354,89.480,87.199,87.072,87.199,83.397,83.397,83.270,84.791,84.411,84.537,86.439,86.439,86.439,,99.747,99.620,86.185,86.185,86.185,89.734,89.607,89.607,89.607,89.354,89.607,87.959,87.833,87.833,87.326,87.199,87.199,87.706,87.833,87.706,86.946,86.946,86.946,86.819,87.072,88.466,88.466,88.340,83.397,83.397,83.397,87.072,87.072,85.425,85.298,85.425,85.805,85.805,85.805,89.227,89.227,89.100,87.959,87.833,88.466,88.720,88.720,88.847,87.706,87.833,87.833,87.833,87.579,87.579,88.086,88.213,87.579,87.959,99.113,86.819
RMNH.INS.1271320_Ae_cinereus_geminus - COX3 CDS,83.650,83.777,84.030,85.551,85.298,85.551,89.100,89.100,89.227,86.946,86.819,86.946,83.143,83.143,83.016,84.537,84.157,84.284,86.185,86.185,86.185,99.747,,99.873,85.932,85.932,85.932,89.480,89.354,89.354,89.354,89.100,89.354,87.706,87.579,87.579,87.326,87.199,87.199,87.706,87.579,87.706,86.692,86.692,86.692,86.565,86.819,88.213,88.213,88.086,83.143,83.143,83.143,86.819,86.819,85.171,85.044,85.171,85.551,85.551,85.551,88.973,88.973,88.847,87.706,87.579,88.213,88.466,88.466,88.593,87.452,87.579,87.579,87.579,87.326,87.326,87.833,87.959,87.326,87.706,99.366,86.565
RMNH.INS.1271321_Ae_cinereus_geminus - COX3 CDS,83.777,83.904,84.157,85.425,85.171,85.425,88.973,88.973,89.100,86.946,86.819,86.946,83.016,83.016,83.143,84.664,84.030,84.157,86.312,86.312,86.312,99.620,99.873,,86.058,86.058,86.058,89.607,89.480,89.480,89.480,89.227,89.480,87.579,87.452,87.452,87.452,87.326,87.326,87.579,87.452,87.579,86.692,86.692,86.692,86.565,86.819,88.340,88.340,88.213,83.143,83.143,83.143,86.819,86.819,85.171,85.044,85.171,85.425,85.425,85.425,88.847,88.847,88.720,87.833,87.706,88.340,88.593,88.593,88.720,87.579,87.706,87.706,87.706,87.452,87.452,87.706,87.833,87.452,87.833,99.240,86.692
RMNH.INS.1271322_Cs_longiareolata - COX3 CDS,84.918,85.044,85.171,86.819,86.565,86.819,86.058,86.185,86.185,90.114,89.987,90.114,85.044,85.044,85.171,86.819,86.439,86.439,86.819,86.819,86.819,86.185,85.932,86.058,,100.000,100.000,87.072,86.946,87.326,86.946,86.819,86.819,86.312,86.185,86.185,85.298,85.044,85.044,84.030,86.185,84.030,85.932,85.932,85.932,89.227,89.987,85.805,85.932,85.678,83.523,83.523,83.523,89.987,89.987,87.959,87.833,87.959,87.579,87.579,87.579,86.439,86.439,86.565,85.551,85.298,85.932,86.439,86.439,86.439,86.312,86.946,86.946,86.946,85.551,85.551,85.298,86.312,85.425,85.551,86.312,88.847
RMNH.INS.1271323_Cs_longiareolata - COX3 CDS,84.918,85.044,85.171,86.819,86.565,86.819,86.058,86.185,86.185,90.114,89.987,90.114,85.044,85.044,85.171,86.819,86.439,86.439,86.819,86.819,86.819,86.185,85.932,86.058,100.000,,100.000,87.072,86.946,87.326,86.946,86.819,86.819,86.312,86.185,86.185,85.298,85.044,85.044,84.030,86.185,84.030,85.932,85.932,85.932,89.227,89.987,85.805,85.932,85.678,83.523,83.523,83.523,89.987,89.987,87.959,87.833,87.959,87.579,87.579,87.579,86.439,86.439,86.565,85.551,85.298,85.932,86.439,86.439,86.439,86.312,86.946,86.946,86.946,85.551,85.551,85.298,86.312,85.425,85.551,86.312,88.847
