,RMNH.INS.1271298_An_messeae - COX1 gene,RMNH.INS.1271299_An_messeae - COX1 gene,RMNH.INS.1271300_An_messeae - COX1 gene,RMNH.INS.1271301_Cq_richiardii - COX1 gene,RMNH.INS.1271302_Cq_richiardii - COX1 gene,RMNH.INS.1271303_Cq_richiardii - COX1 gene,RMNH.INS.1271304_Ae_vexans - COX1 gene,RMNH.INS.1271305_Ae_vexans - COX1 gene,RMNH.INS.1271306_Ae_vexans - COX1 gene,RMNH.INS.1271307_Cs_annulata - COX1 gene,RMNH.INS.1271308_Cs_annulata - COX1 gene,RMNH.INS.1271309_Cs_annulata - COX1 gene,RMNH.INS.1271310_An_claviger - COX1 gene,RMNH.INS.1271311_An_claviger - COX1 gene,RMNH.INS.1271312_An_claviger - COX1 gene,RMNH.INS.1271313_Cx_modestus - COX1 gene,RMNH.INS.1271314_Cx_modestus - COX1 gene,RMNH.INS.1271315_Cx_modestus - COX1 gene,RMNH.INS.1271316_Cx_territans - COX1 gene,RMNH.INS.1271317_Cx_territans - COX1 gene,RMNH.INS.1271318_Cx_territans - COX1 gene,RMNH.INS.1271319_Ae_cinereus - COX1 gene,RMNH.INS.1271320_Ae_cinereus - COX1 gene,RMNH.INS.1271321_Ae_cinereus - COX1 gene,RMNH.INS.1271322_Cs_longiareolata - COX1 gene,RMNH.INS.1271323_Cs_longiareolata - COX1 gene,RMNH.INS.1271324_Cs_longiareolata - COX1 gene,RMNH.INS.1271325_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271326_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271327_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271328_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271329_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271330_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271331_Ae_rusticus - COX1 gene,RMNH.INS.1271332_Ae_rusticus - COX1 gene,RMNH.INS.1271333_Ae_rusticus - COX1 gene,RMNH.INS.1271334_Ae_communis - COX1 gene,RMNH.INS.1271335_Ae_communis - COX1 gene,RMNH.INS.1271336_Ae_communis - COX1 gene,RMNH.INS.1271337_Ae_punctor - COX1 gene,RMNH.INS.1271338_Ae_rusticus - COX1 gene,RMNH.INS.1271339_Ae_punctor - COX1 gene,RMNH.INS.1271340_Ae_geniculatus - COX1 gene,RMNH.INS.1271341_Ae_geniculatus - COX1 gene,RMNH.INS.1271342_Ae_geniculatus - COX1 gene,RMNH.INS.1271344_Cs_subochrea - COX1 gene,RMNH.INS.1271345_Cs_annulata - COX1 gene,RMNH.INS.1271346_Ae_caspius - COX1 gene,RMNH.INS.1271347_Ae_caspius - COX1 gene,RMNH.INS.1271348_Ae_caspius - COX1 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271352_Cs_annulata - COX1 gene,RMNH.INS.1271354_Cs_annulata - COX1 gene,RMNH.INS.1271355_Cx_pipiens - COX1 gene,RMNH.INS.1271356_Cx_pipiens - COX1 gene,RMNH.INS.1271357_Cx_pipiens - COX1 gene,RMNH.INS.1271358_Cs_morsitans - COX1 gene,RMNH.INS.1271359_Cs_morsitans - COX1 gene,RMNH.INS.1271360_Cs_morsitans - COX1 gene,RMNH.INS.1271361_Ae_sticticus - COX1 gene,RMNH.INS.1271362_Ae_sticticus - COX1 gene,RMNH.INS.1271363_Ae_sticticus - COX1 gene,RMNH.INS.1271367_Ae_detritus - COX1 gene,RMNH.INS.1271368_Ae_detritus - COX1 gene,RMNH.INS.1271369_Ae_caspius - COX1 gene,RMNH.INS.1271370_Ae_flavescens - COX1 gene,RMNH.INS.1271371_Ae_flavescens - COX1 gene,RMNH.INS.1271372_Ae_flavescens - COX1 gene,RMNH.INS.1271375_Ae_leucomelas - COX1 gene,RMNH.INS.1271376_Ae_albopictus - COX1 gene,RMNH.INS.1271377_Ae_albopictus - COX1 gene,RMNH.INS.1271378_Ae_albopictus - COX1 gene,RMNH.INS.1271379_Ae_japonicus - COX1 gene,RMNH.INS.1271380_Ae_japonicus - COX1 gene,RMNH.INS.1271381_Ae_japonicus - COX1 gene,RMNH.INS.1271382_Ae_aegypti - COX1 gene,RMNH.INS.1271383_Ae_aegypti - COX1 gene,RMNH.INS.1271384_Ae_aegypti - COX1 gene,RMNH.INS.1271386_Ae_cinereus - COX1 gene,RMNH.INS.1271389_Cs_ochroptera - COX1 gene
RMNH.INS.1271308_Cs_annulata - COX1 gene,86.9,87.095,86.965,85.733,85.538,85.538,87.743,87.808,87.678,99.87,,99.935,85.344,85.344,85.344,88.067,87.873,87.678,88.197,88.132,88.197,86.576,86.576,86.576,88.716,88.716,88.716,86.511,86.9,87.16,86.511,87.03,86.965,88.651,88.521,88.586,87.16,87.354,87.354,86.576,88.521,86.576,87.419,87.419,87.419,96.029,100,88.132,88.392,88.457,85.214,85.214,85.214,100,100,88.911,88.975,89.04,88.262,88.067,88.067,87.873,87.873,87.743,87.678,88.003,88.392,87.16,87.16,86.965,87.419,86.77,86.77,86.77,86.77,86.77,86.9,86.187,86.641,86.511,86.576,89.3
RMNH.INS.1271309_Cs_annulata - COX1 gene,86.835,87.03,86.9,85.668,85.473,85.473,87.743,87.808,87.678,99.805,99.935,,85.344,85.344,85.344,88.067,87.938,87.743,88.132,88.067,88.132,86.576,86.576,86.576,88.716,88.716,88.716,86.511,86.9,87.16,86.511,87.03,86.965,88.651,88.521,88.586,87.16,87.354,87.354,86.576,88.521,86.576,87.419,87.419,87.419,95.964,99.935,88.132,88.392,88.457,85.214,85.214,85.214,99.935,99.935,88.911,88.975,89.04,88.262,88.067,88.067,87.873,87.873,87.743,87.678,88.003,88.392,87.16,87.16,86.965,87.419,86.706,86.706,86.706,86.77,86.77,86.9,86.122,86.576,86.446,86.576,89.3
RMNH.INS.1271310_An_claviger - COX1 gene,88.586,88.651,88.651,85.279,85.149,85.149,85.992,86.057,85.992,85.473,85.344,85.344,,99.805,99.87,87.549,87.289,87.16,85.538,85.473,85.279,85.149,85.149,85.019,85.084,85.084,85.084,85.603,85.733,85.863,85.733,85.863,85.733,86.057,85.927,85.992,86.576,86.77,86.77,85.149,85.927,85.149,86.77,86.77,86.77,85.742,85.344,86.316,86.576,86.511,87.484,87.484,87.484,85.344,85.344,88.067,88.132,88.003,85.603,85.603,85.603,86.122,86.122,86.122,85.863,86.381,86.641,85.733,85.733,85.409,86.576,85.279,85.279,85.149,85.603,85.603,85.603,85.409,85.344,85.603,84.955,86.252
RMNH.INS.1271311_An_claviger - COX1 gene,88.586,88.651,88.651,85.409,85.279,85.279,86.057,86.122,86.057,85.473,85.344,85.344,99.805,,99.805,87.613,87.354,87.224,85.603,85.538,85.344,85.214,85.214,85.214,85.084,85.084,85.084,85.668,85.798,85.927,85.798,85.927,85.798,86.252,86.122,86.187,86.706,86.9,86.9,85.214,86.122,85.214,86.965,86.965,86.965,85.807,85.344,86.381,86.641,86.576,87.613,87.613,87.613,85.344,85.344,88.132,88.197,88.067,85.798,85.798,85.798,86.252,86.252,86.252,85.992,86.316,86.706,85.668,85.668,85.473,86.77,85.344,85.344,85.214,85.733,85.733,85.733,85.473,85.409,85.668,85.019,86.381
RMNH.INS.1271312_An_claviger - COX1 gene,88.521,88.586,88.586,85.279,85.149,85.149,86.057,86.122,86.057,85.473,85.344,85.344,99.87,99.805,,87.549,87.289,87.16,85.668,85.603,85.409,85.149,85.149,85.019,85.084,85.084,85.084,85.603,85.733,85.863,85.733,85.863,85.733,86.057,85.927,85.992,86.576,86.77,86.77,85.279,85.927,85.279,86.77,86.77,86.77,85.742,85.344,86.316,86.576,86.511,87.484,87.484,87.484,85.344,85.344,88.132,88.197,88.067,85.603,85.603,85.603,86.122,86.122,86.122,85.863,86.252,86.641,85.603,85.603,85.409,86.576,85.279,85.279,85.149,85.733,85.733,85.733,85.473,85.409,85.668,84.955,86.252
RMNH.INS.1271313_Cx_modestus - COX1 gene,86.187,86.381,86.187,87.03,86.835,86.835,88.846,88.911,88.781,88.067,88.067,88.067,87.549,87.613,87.549,,98.249,98.119,89.494,89.429,89.235,87.484,87.484,87.419,89.3,89.3,89.3,86.965,86.965,87.095,86.835,86.965,86.835,88.327,88.197,88.132,87.808,87.873,87.873,86.77,88.197,86.77,87.289,87.289,87.289,88.216,88.067,88.067,88.457,88.197,86.122,86.122,86.122,88.067,88.067,94.034,94.099,93.969,87.938,87.808,87.808,88.586,88.586,88.457,88.003,88.392,88.521,86.706,86.706,86.77,88.197,86.576,86.576,86.446,86.965,86.965,87.095,87.095,87.289,87.289,87.354,89.105
RMNH.INS.1271314_Cx_modestus - COX1 gene,86.187,86.381,86.316,87.03,86.835,86.835,88.911,88.975,88.846,87.873,87.873,87.938,87.289,87.354,87.289,98.249,,99.611,89.3,89.235,89.04,87.484,87.484,87.419,89.04,89.04,89.04,86.965,86.965,86.9,86.835,86.965,86.835,88.067,87.938,88.003,87.549,87.613,87.613,86.446,87.938,86.446,87.289,87.289,87.289,88.086,87.873,88.003,88.392,88.132,85.992,85.992,85.992,87.873,87.873,93.839,93.904,93.774,87.743,87.613,87.613,88.327,88.327,88.197,87.613,88.003,88.327,86.835,86.835,87.03,87.938,86.576,86.576,86.446,86.965,86.965,87.095,86.835,87.16,87.289,87.354,88.781
RMNH.INS.1271315_Cx_modestus - COX1 gene,85.992,86.187,86.122,86.965,86.77,86.77,88.975,89.04,88.911,87.678,87.678,87.743,87.16,87.224,87.16,98.119,99.611,,89.235,89.17,88.975,87.419,87.419,87.354,88.716,88.716,88.716,86.965,86.965,87.03,86.835,86.965,86.835,88.132,88.003,88.067,87.613,87.678,87.678,86.576,88.003,86.576,87.354,87.354,87.354,88.021,87.678,87.938,88.327,88.067,85.863,85.863,85.863,87.678,87.678,93.58,93.645,93.515,87.808,87.678,87.678,88.327,88.327,88.197,87.613,88.003,88.262,86.77,86.77,86.965,87.938,86.446,86.446,86.316,86.965,86.965,87.095,86.77,86.965,87.095,87.289,88.975
RMNH.INS.1271316_Cx_territans - COX1 gene,85.863,86.057,86.252,85.668,85.538,85.538,86.965,87.03,86.965,88.262,88.197,88.132,85.538,85.603,85.668,89.494,89.3,89.235,,99.741,99.741,87.03,87.03,86.77,86.706,86.706,86.706,86.641,86.835,86.965,86.641,86.77,86.77,87.484,87.419,87.419,87.938,88.003,88.003,87.095,87.354,87.095,87.419,87.419,87.419,87.826,88.197,87.419,87.613,87.419,85.279,85.279,85.279,88.197,88.197,88.781,88.846,88.781,87.484,87.419,87.419,87.354,87.354,87.289,87.224,87.16,87.678,86.965,86.965,86.77,86.706,86.057,86.057,85.927,87.289,87.289,87.484,86.706,86.965,86.835,86.835,87.16
RMNH.INS.1271317_Cx_territans - COX1 gene,85.733,85.927,86.122,85.538,85.538,85.538,86.835,86.9,86.835,88.197,88.132,88.067,85.473,85.538,85.603,89.429,89.235,89.17,99.741,,99.741,86.965,86.965,86.706,86.641,86.641,86.641,86.576,86.77,86.9,86.576,86.706,86.706,87.484,87.419,87.419,87.873,87.938,87.938,87.03,87.354,87.03,87.354,87.354,87.354,87.76,88.132,87.354,87.549,87.354,85.473,85.473,85.473,88.132,88.132,88.716,88.781,88.716,87.354,87.289,87.289,87.419,87.419,87.354,87.16,87.095,87.613,86.965,86.965,86.77,86.641,86.122,86.122,85.992,87.224,87.224,87.419,86.641,86.9,86.9,86.77,87.224
RMNH.INS.1271318_Cx_territans - COX1 gene,85.863,86.057,86.252,85.409,85.409,85.409,86.706,86.77,86.706,88.262,88.197,88.132,85.279,85.344,85.409,89.235,89.04,88.975,99.741,99.741,,86.77,86.77,86.511,86.511,86.511,86.511,86.381,86.576,86.835,86.381,86.641,86.641,87.354,87.289,87.289,87.678,87.743,87.743,86.835,87.224,86.835,87.16,87.16,87.16,87.565,88.197,87.16,87.354,87.16,85.409,85.409,85.409,88.197,88.197,88.521,88.586,88.521,87.354,87.289,87.289,87.224,87.224,87.16,87.03,86.965,87.419,86.77,86.77,86.576,86.446,85.927,85.927,85.798,87.16,87.16,87.354,86.446,86.835,86.706,86.706,87.16
RMNH.INS.1271319_Ae_cinereus - COX1 gene,86.511,86.576,86.446,84.955,84.89,84.89,89.624,89.689,89.559,86.511,86.576,86.576,85.149,85.214,85.149,87.484,87.484,87.419,87.03,86.965,86.77,,100,99.741,86.77,86.77,86.77,88.262,88.457,88.457,88.262,88.327,88.197,90.143,90.078,90.078,87.613,87.678,87.678,87.419,90.013,87.419,87.743,87.743,87.743,86.654,86.576,88.716,88.975,88.651,86.316,86.316,86.316,86.576,86.576,88.197,88.197,88.132,86.446,86.511,86.511,88.262,88.262,88.327,88.457,88.586,89.04,87.613,87.613,87.678,89.04,89.04,89.04,88.975,88.197,88.197,88.262,89.624,89.754,89.754,99.481,86.446
RMNH.INS.1271320_Ae_cinereus - COX1 gene,86.511,86.576,86.446,84.955,84.89,84.89,89.624,89.689,89.559,86.511,86.576,86.576,85.149,85.214,85.149,87.484,87.484,87.419,87.03,86.965,86.77,100,,99.741,86.77,86.77,86.77,88.262,88.457,88.457,88.262,88.327,88.197,90.143,90.078,90.078,87.613,87.678,87.678,87.419,90.013,87.419,87.743,87.743,87.743,86.654,86.576,88.716,88.975,88.651,86.316,86.316,86.316,86.576,86.576,88.197,88.197,88.132,86.446,86.511,86.511,88.262,88.262,88.327,88.457,88.586,89.04,87.613,87.613,87.678,89.04,89.04,89.04,88.975,88.197,88.197,88.262,89.624,89.754,89.754,99.481,86.446
RMNH.INS.1271321_Ae_cinereus - COX1 gene,86.511,86.576,86.446,84.955,84.89,84.89,89.559,89.624,89.494,86.511,86.576,86.576,85.019,85.214,85.019,87.419,87.419,87.354,86.77,86.706,86.511,99.741,99.741,,86.77,86.77,86.77,88.327,88.392,88.392,88.327,88.262,88.003,90.143,90.078,90.078,87.613,87.678,87.678,87.484,90.013,87.484,87.678,87.678,87.678,86.589,86.576,88.651,89.04,88.716,86.252,86.252,86.252,86.576,86.576,88.132,88.132,88.067,86.576,86.641,86.641,88.197,88.197,88.262,88.262,88.457,89.105,87.808,87.808,87.873,89.105,88.911,88.911,88.846,88.197,88.197,88.262,89.559,89.689,89.689,99.351,86.446
RMNH.INS.1271322_Cs_longiareolata - COX1 gene,85.927,85.992,86.187,86.381,86.187,86.187,87.289,87.354,87.224,88.716,88.716,88.716,85.084,85.084,85.084,89.3,89.04,88.716,86.706,86.641,86.511,86.77,86.77,86.77,,100,100,86.381,86.446,86.446,86.381,86.511,86.381,87.808,87.743,87.743,86.641,86.706,86.706,86.057,87.678,86.057,87.03,87.03,87.03,88.216,88.716,86.835,87.289,87.03,86.316,86.316,86.316,88.716,88.716,88.846,88.911,88.846,87.613,87.484,87.484,87.16,87.16,87.03,87.289,87.289,87.419,86.576,86.576,86.641,86.77,86.77,86.77,86.641,86.187,86.187,86.381,86.77,86.965,87.095,86.576,88.262
RMNH.INS.1271323_Cs_longiareolata - COX1 gene,85.927,85.992,86.187,86.381,86.187,86.187,87.289,87.354,87.224,88.716,88.716,88.716,85.084,85.084,85.084,89.3,89.04,88.716,86.706,86.641,86.511,86.77,86.77,86.77,100,,100,86.381,86.446,86.446,86.381,86.511,86.381,87.808,87.743,87.743,86.641,86.706,86.706,86.057,87.678,86.057,87.03,87.03,87.03,88.216,88.716,86.835,87.289,87.03,86.316,86.316,86.316,88.716,88.716,88.846,88.911,88.846,87.613,87.484,87.484,87.16,87.16,87.03,87.289,87.289,87.419,86.576,86.576,86.641,86.77,86.77,86.77,86.641,86.187,86.187,86.381,86.77,86.965,87.095,86.576,88.262
