,RMNH.INS.1271298_An_messeae - ND4 gene,RMNH.INS.1271299_An_messeae - ND4 gene,RMNH.INS.1271300_An_messeae - ND4 gene,RMNH.INS.1271301_Cq_richiardii - ND4 gene,RMNH.INS.1271302_Cq_richiardii - ND4 gene,RMNH.INS.1271303_Cq_richiardii - ND4 gene,RMNH.INS.1271304_Ae_vexans - ND4 gene,RMNH.INS.1271305_Ae_vexans - ND4 gene,RMNH.INS.1271306_Ae_vexans - ND4 gene,RMNH.INS.1271307_Cs_annulata - ND4 gene,RMNH.INS.1271308_Cs_annulata - ND4 gene,RMNH.INS.1271309_Cs_annulata - ND4 gene,RMNH.INS.1271310_An_claviger - ND4 gene,RMNH.INS.1271311_An_claviger - ND4 gene,RMNH.INS.1271312_An_claviger - ND4 gene,RMNH.INS.1271313_Cx_modestus - ND4 gene,RMNH.INS.1271314_Cx_modestus - ND4 gene,RMNH.INS.1271315_Cx_modestus - ND4 gene,RMNH.INS.1271316_Cx_territans - ND4 gene,RMNH.INS.1271317_Cx_territans - ND4 gene,RMNH.INS.1271318_Cx_territans - ND4 gene,RMNH.INS.1271319_Ae_cinereus - ND4 gene,RMNH.INS.1271320_Ae_cinereus - ND4 gene,RMNH.INS.1271321_Ae_cinereus - ND4 gene,RMNH.INS.1271322_Cs_longiareolata - ND4 gene,RMNH.INS.1271323_Cs_longiareolata - ND4 gene,RMNH.INS.1271324_Cs_longiareolata - ND4 gene,RMNH.INS.1271325_Ae_annulipes_cantans - ND4 gene,RMNH.INS.1271326_Ae_annulipes_cantans - ND4 gene,RMNH.INS.1271327_Ae_annulipes_cantans - ND4 gene,RMNH.INS.1271328_Ae_annulipes_cantans - ND4 gene,RMNH.INS.1271329_Ae_annulipes_cantans - ND4 gene,RMNH.INS.1271330_Ae_annulipes_cantans - ND4 gene,RMNH.INS.1271331_Ae_rusticus - ND4 gene,RMNH.INS.1271332_Ae_rusticus - ND4 gene,RMNH.INS.1271333_Ae_rusticus - ND4 gene,RMNH.INS.1271334_Ae_communis - ND4 gene,RMNH.INS.1271335_Ae_communis - ND4 gene,RMNH.INS.1271336_Ae_communis - ND4 gene,RMNH.INS.1271337_Ae_punctor - ND4 gene,RMNH.INS.1271338_Ae_rusticus - ND4 gene,RMNH.INS.1271339_Ae_punctor - ND4 gene,RMNH.INS.1271340_Ae_geniculatus - ND4 gene,RMNH.INS.1271341_Ae_geniculatus - ND4 gene,RMNH.INS.1271342_Ae_geniculatus - ND4 gene,RMNH.INS.1271344_Cs_subochrea - ND4 gene,RMNH.INS.1271345_Cs_annulata - ND4 gene,RMNH.INS.1271346_Ae_caspius - ND4 gene,RMNH.INS.1271347_Ae_caspius - ND4 gene,RMNH.INS.1271348_Ae_caspius - ND4 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - ND4 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - ND4 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - ND4 gene,RMNH.INS.1271352_Cs_annulata - ND4 gene,RMNH.INS.1271354_Cs_annulata - ND4 gene,RMNH.INS.1271355_Cx_pipiens - ND4 gene,RMNH.INS.1271356_Cx_pipiens - ND4 gene,RMNH.INS.1271357_Cx_pipiens - ND4 gene,RMNH.INS.1271358_Cs_morsitans - ND4 gene,RMNH.INS.1271359_Cs_morsitans - ND4 gene,RMNH.INS.1271360_Cs_morsitans - ND4 gene,RMNH.INS.1271361_Ae_sticticus - ND4 gene,RMNH.INS.1271362_Ae_sticticus - ND4 gene,RMNH.INS.1271363_Ae_sticticus - ND4 gene,RMNH.INS.1271367_Ae_detritus - ND4 gene,RMNH.INS.1271368_Ae_detritus - ND4 gene,RMNH.INS.1271369_Ae_caspius - ND4 gene,RMNH.INS.1271370_Ae_flavescens - ND4 gene,RMNH.INS.1271371_Ae_flavescens - ND4 gene,RMNH.INS.1271372_Ae_flavescens - ND4 gene,RMNH.INS.1271375_Ae_leucomelas - ND4 gene,RMNH.INS.1271376_Ae_albopictus - ND4 gene,RMNH.INS.1271377_Ae_albopictus - ND4 gene,RMNH.INS.1271378_Ae_albopictus - ND4 gene,RMNH.INS.1271379_Ae_japonicus - ND4 gene,RMNH.INS.1271380_Ae_japonicus - ND4 gene,RMNH.INS.1271381_Ae_japonicus - ND4 gene,RMNH.INS.1271382_Ae_aegypti - ND4 gene,RMNH.INS.1271383_Ae_aegypti - ND4 gene,RMNH.INS.1271384_Ae_aegypti - ND4 gene,RMNH.INS.1271386_Ae_cinereus - ND4 gene,RMNH.INS.1271389_Cs_ochroptera - ND4 gene
RMNH.INS.1271308_Cs_annulata - ND4 gene,83.594,83.669,83.669,85.045,85.119,85.119,89.732,89.732,89.658,99.777,,99.702,83.967,84.042,84.042,87.946,88.616,88.839,87.128,87.054,87.054,89.302,89.225,89.302,89.658,89.658,89.658,90.402,90.179,90.179,90.476,90.03,90.179,90.625,90.699,90.625,89.732,89.881,89.807,89.137,90.699,89.137,88.988,89.063,88.988,95.776,100,91.146,91.146,91.146,84.564,84.564,84.564,99.926,100,88.69,88.69,88.69,88.786,88.786,88.786,89.286,89.286,89.286,90.625,90.03,91.146,90.253,90.253,90.179,89.286,88.992,88.682,88.992,88.542,88.542,88.467,89.286,89.509,89.509,89.302,89.708
RMNH.INS.1271309_Cs_annulata - ND4 gene,83.743,83.818,83.818,84.821,84.896,84.896,89.583,89.583,89.509,99.479,99.702,,83.818,83.893,83.893,87.723,88.467,88.616,86.979,86.905,86.905,89.302,89.225,89.302,89.807,89.807,89.807,90.476,90.253,90.253,90.551,90.253,90.402,90.476,90.551,90.476,89.732,89.881,89.807,89.063,90.551,89.063,88.988,89.063,88.988,95.929,99.702,91.146,91.146,91.146,84.713,84.713,84.713,99.628,99.702,88.542,88.542,88.542,88.71,88.71,88.71,89.435,89.435,89.435,90.625,90.03,91.146,90.402,90.402,90.327,89.286,88.76,88.45,88.76,88.69,88.69,88.616,89.286,89.509,89.36,89.302,89.785
RMNH.INS.1271310_An_claviger - ND4 gene,89.262,89.262,89.411,81.432,81.506,81.506,83.52,83.52,83.445,83.967,83.967,83.818,,99.627,99.702,81.73,82.327,82.476,82.327,82.327,82.252,83.761,83.683,83.838,83.371,83.371,83.371,83.967,83.893,83.743,83.893,83.743,83.818,84.415,84.489,84.415,83.967,84.191,84.116,82.476,84.489,82.55,82.923,82.998,82.923,83.68,83.967,84.265,84.191,84.265,89.038,89.038,89.038,84.042,83.967,83.072,83.072,83.072,81.986,81.986,81.986,82.849,82.849,82.849,84.564,84.265,84.191,82.998,82.998,82.774,83.818,83.528,83.372,83.528,82.998,82.998,82.923,84.787,84.564,84.862,83.683,83.68
RMNH.INS.1271311_An_claviger - ND4 gene,89.336,89.336,89.485,81.506,81.581,81.581,83.52,83.52,83.445,84.042,84.042,83.893,99.627,,99.627,81.954,82.55,82.699,82.476,82.476,82.401,83.761,83.683,83.838,83.296,83.296,83.296,83.967,83.893,83.743,83.893,83.743,83.818,84.415,84.489,84.415,83.967,84.191,84.116,82.625,84.489,82.699,83.072,83.147,83.072,83.68,84.042,84.265,84.191,84.265,88.963,88.963,88.963,84.116,84.042,83.221,83.221,83.221,82.294,82.294,82.294,83.072,83.072,83.072,84.638,84.265,84.191,83.072,83.072,82.849,83.893,83.372,83.217,83.372,83.072,83.072,82.998,84.937,84.638,85.011,83.683,83.603
RMNH.INS.1271312_An_claviger - ND4 gene,89.262,89.262,89.411,81.357,81.432,81.432,83.52,83.52,83.445,84.042,84.042,83.893,99.702,99.627,,81.73,82.327,82.625,82.327,82.327,82.252,83.761,83.683,83.838,83.445,83.445,83.445,83.818,83.743,83.669,83.743,83.594,83.669,84.265,84.34,84.265,83.818,84.042,83.967,82.476,84.34,82.55,83.072,83.147,83.072,83.68,84.042,84.265,84.191,84.265,88.963,88.963,88.963,84.116,84.042,83.221,83.221,83.221,81.986,81.986,81.986,82.849,82.849,82.849,84.489,84.116,84.191,83.072,83.072,82.849,83.818,83.45,83.294,83.45,83.072,83.072,82.998,84.937,84.638,84.862,83.683,83.603
RMNH.INS.1271313_Cx_modestus - ND4 gene,82.103,82.177,81.954,82.44,82.589,82.589,86.607,86.607,86.533,87.946,87.946,87.723,81.73,81.954,81.73,,97.47,97.619,88.616,88.542,88.542,86.202,86.124,86.202,84.449,84.449,84.449,87.277,87.202,87.054,87.202,87.054,87.054,87.5,87.574,87.5,86.607,86.682,86.607,85.863,87.5,86.012,85.714,85.789,85.714,87.481,87.946,87.202,87.351,87.128,82.55,82.55,82.55,88.021,87.946,92.262,92.262,92.262,85.868,85.945,85.868,86.161,86.161,86.161,87.054,86.83,87.351,86.384,86.384,86.161,86.607,86.124,85.814,86.124,84.152,84.152,83.929,86.682,86.533,86.682,86.357,87.327
RMNH.INS.1271314_Cx_modestus - ND4 gene,82.849,82.774,82.849,83.036,83.11,83.11,87.277,87.277,87.202,88.616,88.616,88.467,82.327,82.55,82.327,97.47,,99.33,89.137,89.211,89.211,86.899,86.822,86.899,84.896,84.896,84.896,88.095,88.021,87.872,88.021,87.872,87.872,88.318,88.393,88.318,87.202,87.351,87.277,86.384,88.318,86.384,86.235,86.31,86.235,88.095,88.616,87.872,87.872,87.798,82.849,82.849,82.849,88.69,88.616,92.56,92.56,92.56,86.559,86.636,86.559,87.128,87.128,87.128,87.426,87.202,87.872,87.277,87.277,87.054,87.054,86.589,86.279,86.589,84.97,84.97,84.747,87.426,87.202,87.426,86.899,88.326
RMNH.INS.1271315_Cx_modestus - ND4 gene,82.923,82.849,82.923,83.185,83.259,83.259,87.351,87.351,87.277,88.839,88.839,88.616,82.476,82.699,82.625,97.619,99.33,,89.137,89.211,89.211,87.054,86.977,87.054,84.896,84.896,84.896,87.946,87.872,87.798,87.872,87.723,87.723,88.17,88.244,88.17,87.202,87.277,87.202,86.235,88.17,86.235,86.384,86.458,86.384,87.942,88.839,87.798,87.798,87.723,82.998,82.998,82.998,88.914,88.839,92.932,92.932,92.932,86.636,86.713,86.636,86.979,86.979,86.979,87.426,87.351,87.798,87.426,87.426,87.202,87.202,86.589,86.279,86.589,84.821,84.821,84.747,87.351,87.202,87.351,87.209,88.249
RMNH.INS.1271316_Cx_territans - ND4 gene,81.879,81.879,81.879,83.408,83.557,83.557,87.574,87.574,87.574,87.128,87.128,86.979,82.327,82.476,82.327,88.616,89.137,89.137,,99.702,99.777,86.744,86.667,86.744,84.747,84.747,84.747,87.426,87.351,87.351,87.351,87.202,87.202,87.351,87.426,87.351,86.607,86.83,86.756,85.789,87.426,85.789,86.31,86.384,86.31,86.79,87.128,87.649,87.574,87.574,82.252,82.252,82.252,87.202,87.128,90.551,90.551,90.551,86.559,86.559,86.559,86.012,86.012,86.012,87.351,87.202,87.574,86.83,86.83,86.607,87.054,85.426,85.194,85.426,85.342,85.342,85.268,87.574,87.277,87.798,86.667,87.404
RMNH.INS.1271317_Cx_territans - ND4 gene,81.73,81.73,81.73,83.185,83.333,83.333,87.5,87.5,87.5,87.054,87.054,86.905,82.327,82.476,82.327,88.542,89.211,89.211,99.702,,99.926,86.667,86.589,86.667,84.524,84.524,84.524,87.351,87.277,87.277,87.277,87.128,87.128,87.277,87.351,87.277,86.533,86.756,86.682,85.714,87.351,85.714,86.235,86.31,86.235,86.713,87.054,87.574,87.5,87.5,82.252,82.252,82.252,87.128,87.054,90.476,90.476,90.476,86.406,86.406,86.406,85.938,85.938,85.938,87.277,87.128,87.5,86.905,86.905,86.682,86.979,85.504,85.271,85.504,85.268,85.268,85.193,87.5,87.202,87.723,86.589,87.327
RMNH.INS.1271318_Cx_territans - ND4 gene,81.805,81.805,81.805,83.185,83.333,83.333,87.5,87.5,87.5,87.054,87.054,86.905,82.252,82.401,82.252,88.542,89.211,89.211,99.777,99.926,,86.667,86.589,86.667,84.524,84.524,84.524,87.351,87.277,87.277,87.277,87.128,87.128,87.277,87.351,87.277,86.533,86.756,86.682,85.714,87.351,85.714,86.235,86.31,86.235,86.713,87.054,87.574,87.5,87.5,82.177,82.177,82.177,87.128,87.054,90.476,90.476,90.476,86.406,86.406,86.406,85.938,85.938,85.938,87.277,87.128,87.5,86.905,86.905,86.682,86.979,85.504,85.271,85.504,85.268,85.268,85.193,87.5,87.202,87.723,86.589,87.327
RMNH.INS.1271319_Ae_cinereus - ND4 gene,82.828,82.984,82.906,84.884,84.961,84.961,91.395,91.395,91.318,89.302,89.302,89.302,83.761,83.761,83.761,86.202,86.899,87.054,86.744,86.667,86.667,,99.922,99.922,87.364,87.364,87.364,91.938,91.86,91.938,92.016,91.783,91.86,91.86,91.938,91.86,90.62,90.93,90.853,89.69,91.938,89.69,89.767,89.845,89.767,88.682,89.302,91.55,91.55,91.473,82.44,82.44,82.44,89.38,89.302,88.295,88.295,88.295,87.519,87.519,87.519,90.698,90.698,90.698,91.86,91.163,91.55,91.24,91.24,91.008,91.24,90.233,89.845,90.233,88.295,88.295,88.217,90.853,90.698,91.008,99.767,89.07
RMNH.INS.1271320_Ae_cinereus - ND4 gene,82.751,82.906,82.828,84.806,84.884,84.884,91.318,91.318,91.24,89.225,89.225,89.225,83.683,83.683,83.683,86.124,86.822,86.977,86.667,86.589,86.589,99.922,,99.845,87.287,87.287,87.287,91.86,91.783,91.86,91.938,91.705,91.783,91.783,91.86,91.783,90.543,90.853,90.775,89.612,91.86,89.612,89.69,89.767,89.69,88.605,89.225,91.473,91.473,91.395,82.362,82.362,82.362,89.302,89.225,88.217,88.217,88.217,87.442,87.442,87.442,90.62,90.62,90.62,91.783,91.085,91.473,91.163,91.163,90.93,91.163,90.155,89.767,90.155,88.217,88.217,88.14,90.775,90.62,90.93,99.69,88.992
RMNH.INS.1271321_Ae_cinereus - ND4 gene,82.828,82.984,82.906,84.884,84.961,84.961,91.395,91.395,91.318,89.302,89.302,89.302,83.838,83.838,83.838,86.202,86.899,87.054,86.744,86.667,86.667,99.922,99.845,,87.442,87.442,87.442,91.938,91.86,91.938,92.016,91.783,91.86,91.86,91.938,91.86,90.62,90.93,90.853,89.69,91.938,89.69,89.845,89.922,89.845,88.682,89.302,91.55,91.55,91.473,82.517,82.517,82.517,89.38,89.302,88.295,88.295,88.295,87.519,87.519,87.519,90.62,90.62,90.62,91.783,91.24,91.55,91.24,91.24,91.008,91.24,90.233,89.845,90.233,88.372,88.372,88.295,90.93,90.775,91.085,99.69,89.147
RMNH.INS.1271322_Cs_longiareolata - ND4 gene,82.401,82.476,82.401,83.854,83.854,83.854,86.979,86.979,86.905,89.658,89.658,89.807,83.371,83.296,83.445,84.449,84.896,84.896,84.747,84.524,84.524,87.364,87.287,87.442,,100,100,88.244,88.318,88.095,88.17,88.095,88.244,87.649,87.723,87.649,86.607,86.83,86.756,86.086,87.723,86.012,86.086,86.012,86.086,89.785,89.658,87.574,87.426,87.5,82.625,82.625,82.625,89.732,89.658,85.938,85.938,85.938,86.406,86.482,86.406,86.979,86.979,86.979,87.277,86.607,87.426,87.872,87.872,87.649,87.574,86.047,86.047,86.047,85.863,85.863,85.714,86.533,86.682,86.682,87.287,87.404
RMNH.INS.1271323_Cs_longiareolata - ND4 gene,82.401,82.476,82.401,83.854,83.854,83.854,86.979,86.979,86.905,89.658,89.658,89.807,83.371,83.296,83.445,84.449,84.896,84.896,84.747,84.524,84.524,87.364,87.287,87.442,100,,100,88.244,88.318,88.095,88.17,88.095,88.244,87.649,87.723,87.649,86.607,86.83,86.756,86.086,87.723,86.012,86.086,86.012,86.086,89.785,89.658,87.574,87.426,87.5,82.625,82.625,82.625,89.732,89.658,85.938,85.938,85.938,86.406,86.482,86.406,86.979,86.979,86.979,87.277,86.607,87.426,87.872,87.872,87.649,87.574,86.047,86.047,86.047,85.863,85.863,85.714,86.533,86.682,86.682,87.287,87.404
