,RMNH.INS.1271298_An_messeae - ND6 gene,RMNH.INS.1271299_An_messeae - ND6 gene,RMNH.INS.1271300_An_messeae - ND6 gene,RMNH.INS.1271301_Cq_richiardii - ND6 gene,RMNH.INS.1271302_Cq_richiardii - ND6 gene,RMNH.INS.1271303_Cq_richiardii - ND6 gene,RMNH.INS.1271304_Ae_vexans - ND6 gene,RMNH.INS.1271305_Ae_vexans - ND6 gene,RMNH.INS.1271306_Ae_vexans - ND6 gene,RMNH.INS.1271307_Cs_annulata - ND6 gene,RMNH.INS.1271308_Cs_annulata - ND6 gene,RMNH.INS.1271309_Cs_annulata - ND6 gene,RMNH.INS.1271310_An_claviger - ND6 gene,RMNH.INS.1271311_An_claviger - ND6 gene,RMNH.INS.1271312_An_claviger - ND6 gene,RMNH.INS.1271313_Cx_modestus - ND6 gene,RMNH.INS.1271314_Cx_modestus - ND6 gene,RMNH.INS.1271315_Cx_modestus - ND6 gene,RMNH.INS.1271316_Cx_territans - ND6 gene,RMNH.INS.1271317_Cx_territans - ND6 gene,RMNH.INS.1271318_Cx_territans - ND6 gene,RMNH.INS.1271319_Ae_cinereus - ND6 gene,RMNH.INS.1271320_Ae_cinereus - ND6 gene,RMNH.INS.1271321_Ae_cinereus - ND6 gene,RMNH.INS.1271322_Cs_longiareolata - ND6 gene,RMNH.INS.1271323_Cs_longiareolata - ND6 gene,RMNH.INS.1271324_Cs_longiareolata - ND6 gene,RMNH.INS.1271325_Ae_annulipes_cantans - ND6 gene,RMNH.INS.1271326_Ae_annulipes_cantans - ND6 gene,RMNH.INS.1271327_Ae_annulipes_cantans - ND6 gene,RMNH.INS.1271328_Ae_annulipes_cantans - ND6 gene,RMNH.INS.1271329_Ae_annulipes_cantans - ND6 gene,RMNH.INS.1271330_Ae_annulipes_cantans - ND6 gene,RMNH.INS.1271331_Ae_rusticus - ND6 gene,RMNH.INS.1271332_Ae_rusticus - ND6 gene,RMNH.INS.1271333_Ae_rusticus - ND6 gene,RMNH.INS.1271334_Ae_communis - ND6 gene,RMNH.INS.1271335_Ae_communis - ND6 gene,RMNH.INS.1271336_Ae_communis - ND6 gene,RMNH.INS.1271337_Ae_punctor - ND6 gene,RMNH.INS.1271338_Ae_rusticus - ND6 gene,RMNH.INS.1271339_Ae_punctor - ND6 gene,RMNH.INS.1271340_Ae_geniculatus - ND6 gene,RMNH.INS.1271341_Ae_geniculatus - ND6 gene,RMNH.INS.1271342_Ae_geniculatus - ND6 gene,RMNH.INS.1271344_Cs_subochrea - ND6 gene,RMNH.INS.1271345_Cs_annulata - ND6 gene,RMNH.INS.1271346_Ae_caspius - ND6 gene,RMNH.INS.1271347_Ae_caspius - ND6 gene,RMNH.INS.1271348_Ae_caspius - ND6 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - ND6 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - ND6 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - ND6 gene,RMNH.INS.1271352_Cs_annulata - ND6 gene,RMNH.INS.1271354_Cs_annulata - ND6 gene,RMNH.INS.1271355_Cx_pipiens - ND6 gene,RMNH.INS.1271356_Cx_pipiens - ND6 gene,RMNH.INS.1271357_Cx_pipiens - ND6 gene,RMNH.INS.1271358_Cs_morsitans - ND6 gene,RMNH.INS.1271359_Cs_morsitans - ND6 gene,RMNH.INS.1271360_Cs_morsitans - ND6 gene,RMNH.INS.1271361_Ae_sticticus - ND6 gene,RMNH.INS.1271362_Ae_sticticus - ND6 gene,RMNH.INS.1271363_Ae_sticticus - ND6 gene,RMNH.INS.1271367_Ae_detritus - ND6 gene,RMNH.INS.1271368_Ae_detritus - ND6 gene,RMNH.INS.1271369_Ae_caspius - ND6 gene,RMNH.INS.1271370_Ae_flavescens - ND6 gene,RMNH.INS.1271371_Ae_flavescens - ND6 gene,RMNH.INS.1271372_Ae_flavescens - ND6 gene,RMNH.INS.1271375_Ae_leucomelas - ND6 gene,RMNH.INS.1271376_Ae_albopictus - ND6 gene,RMNH.INS.1271377_Ae_albopictus - ND6 gene,RMNH.INS.1271378_Ae_albopictus - ND6 gene,RMNH.INS.1271379_Ae_japonicus - ND6 gene,RMNH.INS.1271380_Ae_japonicus - ND6 gene,RMNH.INS.1271381_Ae_japonicus - ND6 gene,RMNH.INS.1271382_Ae_aegypti - ND6 gene,RMNH.INS.1271383_Ae_aegypti - ND6 gene,RMNH.INS.1271384_Ae_aegypti - ND6 gene,RMNH.INS.1271386_Ae_cinereus - ND6 gene,RMNH.INS.1271389_Cs_ochroptera - ND6 gene
RMNH.INS.1271317_Cx_territans - ND6 gene,78.488,78.488,78.295,76.078,76.275,76.078,81.977,81.977,82.171,85.659,85.659,84.884,80.814,80.62,80.814,87.209,87.597,87.016,100,,100,82.364,82.171,82.171,82.752,82.752,82.752,83.915,83.915,83.721,83.915,83.14,83.14,82.946,82.946,82.946,80.426,80.233,80.233,78.488,82.946,78.682,82.364,82.364,82.364,84.69,85.659,82.946,83.14,82.946,82.171,82.171,82.171,85.659,85.659,89.147,89.147,89.147,84.109,84.302,84.109,82.752,82.752,82.752,82.946,83.14,82.946,83.14,83.14,82.946,82.364,81.391,81.391,81.391,82.171,82.171,82.171,82.171,82.171,82.364,82.171,85.271
RMNH.INS.1271318_Cx_territans - ND6 gene,78.488,78.488,78.295,76.078,76.275,76.078,81.977,81.977,82.171,85.659,85.659,84.884,80.814,80.62,80.814,87.209,87.597,87.016,100,100,,82.364,82.171,82.171,82.752,82.752,82.752,83.915,83.915,83.721,83.915,83.14,83.14,82.946,82.946,82.946,80.426,80.233,80.233,78.488,82.946,78.682,82.364,82.364,82.364,84.69,85.659,82.946,83.14,82.946,82.171,82.171,82.171,85.659,85.659,89.147,89.147,89.147,84.109,84.302,84.109,82.752,82.752,82.752,82.946,83.14,82.946,83.14,83.14,82.946,82.364,81.391,81.391,81.391,82.171,82.171,82.171,82.171,82.171,82.364,82.171,85.271
RMNH.INS.1271319_Ae_cinereus - ND6 gene,77.524,77.524,77.333,73.333,73.529,73.725,89.403,89.403,89.595,82.946,82.946,82.171,78.286,77.905,78.095,83.915,83.14,82.946,82.364,82.364,82.364,,99.808,99.808,81.503,81.503,81.503,87.861,87.669,88.247,87.669,86.898,87.091,89.981,89.788,89.981,85.164,84.971,84.971,83.815,89.981,84.008,87.091,87.091,87.091,82.274,82.946,87.861,87.669,87.861,79.81,79.81,79.81,82.946,82.946,83.14,83.14,83.14,85.057,85.057,85.057,84.866,84.866,84.971,87.283,87.283,87.669,87.861,87.861,87.669,88.054,83.845,83.845,83.845,85.356,85.356,85.356,85.164,85.164,85.549,99.808,85.164
RMNH.INS.1271320_Ae_cinereus - ND6 gene,77.333,77.333,77.143,73.137,73.333,73.529,89.21,89.21,89.403,82.752,82.752,81.977,78.095,77.714,77.905,83.721,82.946,82.752,82.171,82.171,82.171,99.808,,100,81.31,81.31,81.31,87.669,87.476,88.054,87.476,86.705,86.898,89.788,89.595,89.788,84.971,84.778,84.778,84.008,89.788,84.2,86.898,86.898,86.898,82.081,82.752,87.669,87.476,87.669,79.619,79.619,79.619,82.752,82.752,82.946,82.946,82.946,84.866,84.866,84.866,84.674,84.674,84.778,87.091,87.091,87.476,87.669,87.669,87.476,87.861,83.64,83.64,83.64,85.164,85.164,85.164,84.971,84.971,85.356,100,84.971
RMNH.INS.1271321_Ae_cinereus - ND6 gene,77.333,77.333,77.143,73.137,73.333,73.529,89.21,89.21,89.403,82.752,82.752,81.977,78.095,77.714,77.905,83.721,82.946,82.752,82.171,82.171,82.171,99.808,100,,81.31,81.31,81.31,87.669,87.476,88.054,87.476,86.705,86.898,89.788,89.595,89.788,84.971,84.778,84.778,84.008,89.788,84.2,86.898,86.898,86.898,82.081,82.752,87.669,87.476,87.669,79.619,79.619,79.619,82.752,82.752,82.946,82.946,82.946,84.866,84.866,84.866,84.674,84.674,84.778,87.091,87.091,87.476,87.669,87.669,87.476,87.861,83.64,83.64,83.64,85.164,85.164,85.164,84.971,84.971,85.356,100,84.971
RMNH.INS.1271322_Cs_longiareolata - ND6 gene,79.191,79.191,78.998,75.686,75.882,75.882,81.888,81.888,82.081,84.496,84.496,83.721,79.961,79.769,79.961,82.752,82.558,82.171,82.752,82.752,82.752,81.503,81.31,81.31,,100,100,81.31,80.925,80.925,81.118,80.154,80.154,82.659,82.659,82.659,80.347,80.154,80.154,78.805,82.659,78.998,81.31,81.31,81.31,83.044,84.496,81.31,81.503,81.31,79.961,79.961,79.961,84.496,84.496,81.783,81.783,81.783,83.237,83.044,83.237,79.576,79.576,79.769,83.622,83.237,81.31,81.696,81.696,81.503,80.925,79.346,79.346,79.346,79.383,79.383,79.383,78.998,78.42,79.576,81.31,84.971
RMNH.INS.1271323_Cs_longiareolata - ND6 gene,79.191,79.191,78.998,75.686,75.882,75.882,81.888,81.888,82.081,84.496,84.496,83.721,79.961,79.769,79.961,82.752,82.558,82.171,82.752,82.752,82.752,81.503,81.31,81.31,100,,100,81.31,80.925,80.925,81.118,80.154,80.154,82.659,82.659,82.659,80.347,80.154,80.154,78.805,82.659,78.998,81.31,81.31,81.31,83.044,84.496,81.31,81.503,81.31,79.961,79.961,79.961,84.496,84.496,81.783,81.783,81.783,83.237,83.044,83.237,79.576,79.576,79.769,83.622,83.237,81.31,81.696,81.696,81.503,80.925,79.346,79.346,79.346,79.383,79.383,79.383,78.998,78.42,79.576,81.31,84.971
RMNH.INS.1271324_Cs_longiareolata - ND6 gene,79.191,79.191,78.998,75.686,75.882,75.882,81.888,81.888,82.081,84.496,84.496,83.721,79.961,79.769,79.961,82.752,82.558,82.171,82.752,82.752,82.752,81.503,81.31,81.31,100,100,,81.31,80.925,80.925,81.118,80.154,80.154,82.659,82.659,82.659,80.347,80.154,80.154,78.805,82.659,78.998,81.31,81.31,81.31,83.044,84.496,81.31,81.503,81.31,79.961,79.961,79.961,84.496,84.496,81.783,81.783,81.783,83.237,83.044,83.237,79.576,79.576,79.769,83.622,83.237,81.31,81.696,81.696,81.503,80.925,79.346,79.346,79.346,79.383,79.383,79.383,78.998,78.42,79.576,81.31,84.971
RMNH.INS.1271325_Ae_annulipes_cantans - ND6 gene,77.264,77.264,77.071,75.098,75.294,75.49,88.825,88.825,88.632,83.527,83.527,82.752,78.035,77.649,77.842,80.62,80.233,79.651,83.915,83.915,83.915,87.861,87.669,87.669,81.31,81.31,81.31,,99.419,98.256,99.806,98.062,98.256,89.403,89.21,89.403,90.698,90.504,90.504,89.922,89.403,89.922,91.085,91.085,91.085,82.274,83.527,92.442,92.442,92.442,80.347,80.347,80.347,83.527,83.527,81.008,81.008,81.008,83.044,83.044,83.044,87.984,87.984,87.984,91.667,91.473,92.248,96.899,96.899,96.705,93.217,82.822,82.822,82.822,88.372,88.372,88.372,83.622,83.237,84.008,87.669,84.393
RMNH.INS.1271326_Ae_annulipes_cantans - ND6 gene,77.264,77.264,77.071,75.294,75.49,75.686,89.21,89.21,89.017,83.333,83.333,82.558,77.842,77.457,77.649,80.814,80.426,79.845,83.915,83.915,83.915,87.669,87.476,87.476,80.925,80.925,80.925,99.419,,98.062,99.612,98.643,98.45,89.595,89.403,89.595,90.698,90.504,90.504,89.729,89.595,89.729,91.279,91.279,91.279,82.081,83.333,92.636,92.636,92.636,80.539,80.539,80.539,83.333,83.333,81.008,81.008,81.008,83.237,83.237,83.237,88.178,88.178,88.178,91.473,91.279,92.442,96.705,96.705,96.512,93.217,82.822,82.822,82.822,88.372,88.372,88.372,83.815,83.43,84.2,87.476,84.2
RMNH.INS.1271327_Ae_annulipes_cantans - ND6 gene,77.842,77.842,77.649,75.098,75.294,75.49,89.017,89.017,88.825,82.946,82.946,82.171,78.805,78.42,78.613,80.426,80.039,79.457,83.721,83.721,83.721,88.247,88.054,88.054,80.925,80.925,80.925,98.256,98.062,,98.45,98.256,98.837,89.595,89.403,89.595,90.504,90.31,90.31,89.341,89.595,89.729,90.504,90.504,90.504,82.466,82.946,92.248,92.248,92.248,80.539,80.539,80.539,82.946,82.946,81.202,81.202,81.202,83.622,83.622,83.622,88.178,88.178,88.178,91.279,91.085,92.054,96.318,96.318,96.124,92.636,82.618,82.618,82.618,87.791,87.791,87.791,83.622,83.237,84.008,88.054,84.971
RMNH.INS.1271328_Ae_annulipes_cantans - ND6 gene,77.071,77.071,76.879,75.098,75.294,75.49,89.017,89.017,88.825,83.333,83.333,82.558,77.842,77.457,77.649,80.62,80.233,79.651,83.915,83.915,83.915,87.669,87.476,87.476,81.118,81.118,81.118,99.806,99.612,98.45,,98.256,98.45,89.595,89.403,89.595,90.504,90.31,90.31,89.729,89.595,89.729,90.891,90.891,90.891,82.081,83.333,92.636,92.636,92.636,80.154,80.154,80.154,83.333,83.333,81.008,81.008,81.008,82.852,82.852,82.852,88.178,88.178,88.178,91.473,91.279,92.442,96.705,96.705,96.512,93.411,82.618,82.618,82.618,88.178,88.178,88.178,83.622,83.237,84.008,87.476,84.2
RMNH.INS.1271329_Ae_annulipes_cantans - ND6 gene,77.071,77.071,76.879,74.902,75.098,75.294,88.247,88.247,88.054,82.558,82.558,81.783,77.457,77.071,77.264,80.039,79.651,79.07,83.14,83.14,83.14,86.898,86.705,86.705,80.154,80.154,80.154,98.062,98.643,98.256,98.256,,99.419,88.632,88.439,88.632,89.729,89.535,89.535,88.76,88.632,89.147,90.504,90.504,90.504,81.31,82.558,91.667,91.667,91.667,80.154,80.154,80.154,82.558,82.558,80.233,80.233,80.233,82.852,82.852,82.852,87.403,87.403,87.403,91.085,90.504,91.473,96.318,96.318,96.124,92.248,82.004,82.004,82.004,87.209,87.209,87.209,83.044,82.659,83.43,86.705,83.622
RMNH.INS.1271330_Ae_annulipes_cantans - ND6 gene,76.879,76.879,76.686,74.706,74.902,75.098,88.247,88.247,88.054,82.171,82.171,81.395,77.842,77.457,77.649,79.845,79.457,78.876,83.14,83.14,83.14,87.091,86.898,86.898,80.154,80.154,80.154,98.256,98.45,98.837,98.45,99.419,,88.825,88.632,88.825,89.922,89.729,89.729,88.953,88.825,89.341,90.116,90.116,90.116,81.31,82.171,91.473,91.473,91.473,79.961,79.961,79.961,82.171,82.171,80.233,80.233,80.233,82.852,82.852,82.852,87.403,87.403,87.403,90.891,90.31,91.279,95.93,95.93,95.736,92.248,82.209,82.209,82.209,86.822,86.822,86.822,82.659,82.274,83.044,86.898,83.815
RMNH.INS.1271331_Ae_rusticus - ND6 gene,79.576,79.576,79.383,75.882,76.078,76.078,92.1,92.1,91.908,84.302,84.302,83.915,80.154,79.961,80.154,82.752,82.558,81.977,82.946,82.946,82.946,89.981,89.788,89.788,82.659,82.659,82.659,89.403,89.595,89.595,89.595,88.632,88.825,,99.807,100,87.476,87.283,87.283,84.971,100,84.971,88.632,88.632,88.632,83.044,84.302,89.788,89.788,89.788,82.466,82.466,82.466,84.302,84.302,83.721,83.721,83.721,84.2,84.393,84.2,86.513,86.513,86.705,87.861,88.054,89.595,89.595,89.595,89.403,90.173,85.072,85.276,85.072,85.549,85.549,85.549,86.32,86.32,86.127,89.788,84.778
RMNH.INS.1271332_Ae_rusticus - ND6 gene,79.576,79.576,79.383,75.882,76.078,76.078,91.908,91.908,91.715,84.302,84.302,83.915,80.154,79.961,80.154,82.946,82.752,82.171,82.946,82.946,82.946,89.788,89.595,89.595,82.659,82.659,82.659,89.21,89.403,89.403,89.403,88.439,88.632,99.807,,99.807,87.283,87.091,87.091,84.778,99.807,84.778,88.439,88.439,88.439,83.044,84.302,89.595,89.595,89.595,82.466,82.466,82.466,84.302,84.302,83.915,83.915,83.915,84.2,84.393,84.2,86.32,86.32,86.513,87.669,87.861,89.403,89.403,89.403,89.21,89.981,85.072,85.276,85.072,85.356,85.356,85.356,86.32,86.32,86.127,89.595,84.778
RMNH.INS.1271333_Ae_rusticus - ND6 gene,79.576,79.576,79.383,75.882,76.078,76.078,92.1,92.1,91.908,84.302,84.302,83.915,80.154,79.961,80.154,82.752,82.558,81.977,82.946,82.946,82.946,89.981,89.788,89.788,82.659,82.659,82.659,89.403,89.595,89.595,89.595,88.632,88.825,100,99.807,,87.476,87.283,87.283,84.971,100,84.971,88.632,88.632,88.632,83.044,84.302,89.788,89.788,89.788,82.466,82.466,82.466,84.302,84.302,83.721,83.721,83.721,84.2,84.393,84.2,86.513,86.513,86.705,87.861,88.054,89.595,89.595,89.595,89.403,90.173,85.072,85.276,85.072,85.549,85.549,85.549,86.32,86.32,86.127,89.788,84.778
RMNH.INS.1271334_Ae_communis - ND6 gene,76.493,76.493,76.301,73.922,74.118,74.314,87.861,87.861,87.669,80.814,80.814,80.426,76.686,76.493,76.686,78.876,79.264,78.682,80.426,80.426,80.426,85.164,84.971,84.971,80.347,80.347,80.347,90.698,90.698,90.504,90.504,89.729,89.922,87.476,87.283,87.476,,99.806,99.806,91.473,87.476,91.473,89.729,89.729,89.729,81.696,80.814,90.698,90.698,90.698,77.842,77.842,77.842,80.814,80.814,79.457,79.457,79.457,81.888,82.081,81.888,86.628,86.628,86.822,89.922,89.729,90.504,90.504,90.504,90.31,90.504,82.413,82.413,82.413,86.047,86.047,86.047,84.393,84.2,84.2,84.971,83.044
RMNH.INS.1271335_Ae_communis - ND6 gene,76.301,76.301,76.108,73.725,73.922,74.118,87.669,87.669,87.476,80.62,80.62,80.233,76.493,76.301,76.493,78.682,79.07,78.488,80.233,80.233,80.233,84.971,84.778,84.778,80.154,80.154,80.154,90.504,90.504,90.31,90.31,89.535,89.729,87.283,87.091,87.283,99.806,,100,91.279,87.283,91.279,89.535,89.535,89.535,81.503,80.62,90.504,90.504,90.504,77.649,77.649,77.649,80.62,80.62,79.264,79.264,79.264,81.696,81.888,81.696,86.434,86.434,86.628,89.729,89.535,90.31,90.31,90.31,90.116,90.31,82.209,82.209,82.209,85.853,85.853,85.853,84.2,84.008,84.008,84.778,82.852
RMNH.INS.1271336_Ae_communis - ND6 gene,76.301,76.301,76.108,73.725,73.922,74.118,87.669,87.669,87.476,80.62,80.62,80.233,76.493,76.301,76.493,78.682,79.07,78.488,80.233,80.233,80.233,84.971,84.778,84.778,80.154,80.154,80.154,90.504,90.504,90.31,90.31,89.535,89.729,87.283,87.091,87.283,99.806,100,,91.279,87.283,91.279,89.535,89.535,89.535,81.503,80.62,90.504,90.504,90.504,77.649,77.649,77.649,80.62,80.62,79.264,79.264,79.264,81.696,81.888,81.696,86.434,86.434,86.628,89.729,89.535,90.31,90.31,90.31,90.116,90.31,82.209,82.209,82.209,85.853,85.853,85.853,84.2,84.008,84.008,84.778,82.852
RMNH.INS.1271337_Ae_punctor - ND6 gene,76.301,76.301,76.108,72.941,73.137,73.333,85.549,85.549,85.356,79.845,79.845,79.457,76.301,75.915,76.108,77.519,77.326,76.744,78.488,78.488,78.488,83.815,84.008,84.008,78.805,78.805,78.805,89.922,89.729,89.341,89.729,88.76,88.953,84.971,84.778,84.971,91.473,91.279,91.279,,84.971,99.612,87.403,87.403,87.403,79.383,79.845,88.566,88.566,88.566,76.301,76.301,76.301,79.845,79.845,78.295,78.295,78.295,80.732,80.732,80.732,86.434,86.434,86.24,88.178,87.791,88.372,89.535,89.535,89.729,89.729,79.959,79.959,79.959,83.527,83.527,83.527,82.081,81.696,81.696,84.008,82.659
RMNH.INS.1271338_Ae_rusticus - ND6 gene,79.576,79.576,79.383,75.882,76.078,76.078,92.1,92.1,91.908,84.302,84.302,83.915,80.154,79.961,80.154,82.752,82.558,81.977,82.946,82.946,82.946,89.981,89.788,89.788,82.659,82.659,82.659,89.403,89.595,89.595,89.595,88.632,88.825,100,99.807,100,87.476,87.283,87.283,84.971,,84.971,88.632,88.632,88.632,83.044,84.302,89.788,89.788,89.788,82.466,82.466,82.466,84.302,84.302,83.721,83.721,83.721,84.2,84.393,84.2,86.513,86.513,86.705,87.861,88.054,89.595,89.595,89.595,89.403,90.173,85.072,85.276,85.072,85.549,85.549,85.549,86.32,86.32,86.127,89.788,84.778
RMNH.INS.1271339_Ae_punctor - ND6 gene,76.493,76.493,76.301,72.745,72.941,73.137,85.549,85.549,85.356,79.845,79.845,79.457,76.493,76.108,76.301,77.713,77.519,76.938,78.682,78.682,78.682,84.008,84.2,84.2,78.998,78.998,78.998,89.922,89.729,89.729,89.729,89.147,89.341,84.971,84.778,84.971,91.473,91.279,91.279,99.612,84.971,,87.403,87.403,87.403,78.998,79.845,88.566,88.566,88.566,76.108,76.108,76.108,79.845,79.845,78.488,78.488,78.488,80.539,80.539,80.539,86.822,86.822,86.628,88.372,87.984,88.372,89.535,89.535,89.729,89.729,79.959,79.959,79.959,83.527,83.527,83.527,81.696,81.696,81.696,84.2,82.466
RMNH.INS.1271340_Ae_geniculatus - ND6 gene,78.035,78.035,77.842,75.49,75.686,75.686,88.439,88.439,88.632,82.946,82.946,82.558,78.227,78.035,78.227,80.814,80.814,80.233,82.364,82.364,82.364,87.091,86.898,86.898,81.31,81.31,81.31,91.085,91.279,90.504,90.891,90.504,90.116,88.632,88.439,88.632,89.729,89.535,89.535,87.403,88.632,87.403,,100,100,81.696,82.946,92.442,92.442,92.442,79.383,79.383,79.383,82.946,82.946,81.977,81.977,81.977,82.081,81.888,82.081,89.535,89.535,89.729,90.504,89.922,92.248,92.248,92.248,92.054,91.86,84.049,84.049,84.049,88.372,88.372,88.372,86.127,85.742,86.32,86.898,83.43
RMNH.INS.1271341_Ae_geniculatus - ND6 gene,78.035,78.035,77.842,75.49,75.686,75.686,88.439,88.439,88.632,82.946,82.946,82.558,78.227,78.035,78.227,80.814,80.814,80.233,82.364,82.364,82.364,87.091,86.898,86.898,81.31,81.31,81.31,91.085,91.279,90.504,90.891,90.504,90.116,88.632,88.439,88.632,89.729,89.535,89.535,87.403,88.632,87.403,100,,100,81.696,82.946,92.442,92.442,92.442,79.383,79.383,79.383,82.946,82.946,81.977,81.977,81.977,82.081,81.888,82.081,89.535,89.535,89.729,90.504,89.922,92.248,92.248,92.248,92.054,91.86,84.049,84.049,84.049,88.372,88.372,88.372,86.127,85.742,86.32,86.898,83.43
RMNH.INS.1271342_Ae_geniculatus - ND6 gene,78.035,78.035,77.842,75.49,75.686,75.686,88.439,88.439,88.632,82.946,82.946,82.558,78.227,78.035,78.227,80.814,80.814,80.233,82.364,82.364,82.364,87.091,86.898,86.898,81.31,81.31,81.31,91.085,91.279,90.504,90.891,90.504,90.116,88.632,88.439,88.632,89.729,89.535,89.535,87.403,88.632,87.403,100,100,,81.696,82.946,92.442,92.442,92.442,79.383,79.383,79.383,82.946,82.946,81.977,81.977,81.977,82.081,81.888,82.081,89.535,89.535,89.729,90.504,89.922,92.248,92.248,92.248,92.054,91.86,84.049,84.049,84.049,88.372,88.372,88.372,86.127,85.742,86.32,86.898,83.43
RMNH.INS.1271344_Cs_subochrea - ND6 gene,77.264,77.264,77.071,78.627,78.824,78.824,82.852,82.852,83.044,94.767,94.767,93.992,77.264,77.071,77.264,82.946,82.558,82.171,84.69,84.69,84.69,82.274,82.081,82.081,83.044,83.044,83.044,82.274,82.081,82.466,82.081,81.31,81.31,83.044,83.044,83.044,81.696,81.503,81.503,79.383,83.044,78.998,81.696,81.696,81.696,,94.767,82.659,82.852,82.659,79.576,79.576,79.576,94.767,94.767,84.109,84.109,84.109,85.356,85.164,85.356,79.576,79.576,79.576,83.622,83.815,82.659,82.466,82.466,82.274,81.503,82.413,82.209,82.413,80.925,80.925,80.925,81.31,80.154,81.503,82.081,86.705
RMNH.INS.1271345_Cs_annulata - ND6 gene,78.682,78.682,78.488,78.431,78.627,78.824,83.527,83.527,83.721,100,100,99.225,78.682,78.488,78.682,84.884,84.496,84.109,85.659,85.659,85.659,82.946,82.752,82.752,84.496,84.496,84.496,83.527,83.333,82.946,83.333,82.558,82.171,84.302,84.302,84.302,80.814,80.62,80.62,79.845,84.302,79.845,82.946,82.946,82.946,94.767,,82.946,83.14,82.946,81.202,81.202,81.202,100,100,86.24,86.24,86.24,86.628,86.434,86.628,81.202,81.202,81.202,83.333,82.946,82.946,83.915,83.915,83.721,82.364,82.004,81.8,82.004,82.364,82.364,82.364,81.395,81.008,81.977,82.752,87.597
RMNH.INS.1271346_Ae_caspius - ND6 gene,79.191,79.191,78.998,74.902,75.098,75.294,92.1,92.1,91.908,82.946,82.946,82.558,79.191,78.805,78.998,80.62,80.62,80.039,82.946,82.946,82.946,87.861,87.669,87.669,81.31,81.31,81.31,92.442,92.636,92.248,92.636,91.667,91.473,89.788,89.595,89.788,90.698,90.504,90.504,88.566,89.788,88.566,92.442,92.442,92.442,82.659,82.946,,99.612,100,80.732,80.732,80.732,82.946,82.946,82.558,82.558,82.558,83.815,83.815,83.815,89.729,89.729,89.922,91.667,91.473,99.806,93.023,93.023,92.829,93.023,82.004,82.004,82.004,88.953,88.953,88.953,85.356,84.971,85.356,87.669,84.008
RMNH.INS.1271347_Ae_caspius - ND6 gene,79.383,79.383,79.191,74.706,74.902,75.098,92.1,92.1,91.908,83.14,83.14,82.752,78.998,78.613,78.805,80.814,80.814,80.233,83.14,83.14,83.14,87.669,87.476,87.476,81.503,81.503,81.503,92.442,92.636,92.248,92.636,91.667,91.473,89.788,89.595,89.788,90.698,90.504,90.504,88.566,89.788,88.566,92.442,92.442,92.442,82.852,83.14,99.612,,99.612,80.732,80.732,80.732,83.14,83.14,82.558,82.558,82.558,83.815,83.815,83.815,89.535,89.535,89.729,91.667,91.473,99.806,93.023,93.023,92.829,93.023,82.004,82.004,82.004,89.147,89.147,89.147,85.164,84.778,85.164,87.476,84.2
RMNH.INS.1271348_Ae_caspius - ND6 gene,79.191,79.191,78.998,74.902,75.098,75.294,92.1,92.1,91.908,82.946,82.946,82.558,79.191,78.805,78.998,80.62,80.62,80.039,82.946,82.946,82.946,87.861,87.669,87.669,81.31,81.31,81.31,92.442,92.636,92.248,92.636,91.667,91.473,89.788,89.595,89.788,90.698,90.504,90.504,88.566,89.788,88.566,92.442,92.442,92.442,82.659,82.946,100,99.612,,80.732,80.732,80.732,82.946,82.946,82.558,82.558,82.558,83.815,83.815,83.815,89.729,89.729,89.922,91.667,91.473,99.806,93.023,93.023,92.829,93.023,82.004,82.004,82.004,88.953,88.953,88.953,85.356,84.971,85.356,87.669,84.008
RMNH.INS.1271349_An_plumbeus_partial_genome - ND6 gene,84.571,84.571,84.381,75.686,75.882,75.882,81.118,81.118,81.118,81.202,81.202,80.426,85.524,85.143,85.333,79.651,80.039,79.651,82.171,82.171,82.171,79.81,79.619,79.619,79.961,79.961,79.961,80.347,80.539,80.539,80.154,80.154,79.961,82.466,82.466,82.466,77.842,77.649,77.649,76.301,82.466,76.108,79.383,79.383,79.383,79.576,81.202,80.732,80.732,80.732,,100,100,81.202,81.202,80.233,80.233,80.233,80.19,80.19,80.19,79.619,79.619,79.961,78.998,78.998,80.732,80.154,80.154,79.961,79.383,79.755,79.959,79.755,79.961,79.961,79.961,78.42,78.035,78.42,79.619,82.081
RMNH.INS.1271350_An_plumbeus_partial_genome - ND6 gene,84.571,84.571,84.381,75.686,75.882,75.882,81.118,81.118,81.118,81.202,81.202,80.426,85.524,85.143,85.333,79.651,80.039,79.651,82.171,82.171,82.171,79.81,79.619,79.619,79.961,79.961,79.961,80.347,80.539,80.539,80.154,80.154,79.961,82.466,82.466,82.466,77.842,77.649,77.649,76.301,82.466,76.108,79.383,79.383,79.383,79.576,81.202,80.732,80.732,80.732,100,,100,81.202,81.202,80.233,80.233,80.233,80.19,80.19,80.19,79.619,79.619,79.961,78.998,78.998,80.732,80.154,80.154,79.961,79.383,79.755,79.959,79.755,79.961,79.961,79.961,78.42,78.035,78.42,79.619,82.081
