,RMNH.INS.1271298_An_messeae - COX3 gene,RMNH.INS.1271299_An_messeae - COX3 gene,RMNH.INS.1271300_An_messeae - COX3 gene,RMNH.INS.1271301_Cq_richiardii - COX3 gene,RMNH.INS.1271302_Cq_richiardii - COX3 gene,RMNH.INS.1271303_Cq_richiardii - COX3 gene,RMNH.INS.1271304_Ae_vexans - COX3 gene,RMNH.INS.1271305_Ae_vexans - COX3 gene,RMNH.INS.1271306_Ae_vexans - COX3 gene,RMNH.INS.1271307_Cs_annulata - COX3 gene,RMNH.INS.1271308_Cs_annulata - COX3 gene,RMNH.INS.1271309_Cs_annulata - COX3 gene,RMNH.INS.1271310_An_claviger - COX3 gene,RMNH.INS.1271311_An_claviger - COX3 gene,RMNH.INS.1271312_An_claviger - COX3 gene,RMNH.INS.1271313_Cx_modestus - COX3 gene,RMNH.INS.1271314_Cx_modestus - COX3 gene,RMNH.INS.1271315_Cx_modestus - COX3 gene,RMNH.INS.1271316_Cx_territans - COX3 gene,RMNH.INS.1271317_Cx_territans - COX3 gene,RMNH.INS.1271318_Cx_territans - COX3 gene,RMNH.INS.1271319_Ae_cinereus - COX3 gene,RMNH.INS.1271320_Ae_cinereus - COX3 gene,RMNH.INS.1271321_Ae_cinereus - COX3 gene,RMNH.INS.1271322_Cs_longiareolata - COX3 gene,RMNH.INS.1271323_Cs_longiareolata - COX3 gene,RMNH.INS.1271324_Cs_longiareolata - COX3 gene,RMNH.INS.1271325_Ae_annulipes_cantans - COX3 gene,RMNH.INS.1271326_Ae_annulipes_cantans - COX3 gene,RMNH.INS.1271327_Ae_annulipes_cantans - COX3 gene,RMNH.INS.1271328_Ae_annulipes_cantans - COX3 gene,RMNH.INS.1271329_Ae_annulipes_cantans - COX3 gene,RMNH.INS.1271330_Ae_annulipes_cantans - COX3 gene,RMNH.INS.1271331_Ae_rusticus - COX3 gene,RMNH.INS.1271332_Ae_rusticus - COX3 gene,RMNH.INS.1271333_Ae_rusticus - COX3 gene,RMNH.INS.1271334_Ae_communis - COX3 gene,RMNH.INS.1271335_Ae_communis - COX3 gene,RMNH.INS.1271336_Ae_communis - COX3 gene,RMNH.INS.1271337_Ae_punctor - COX3 gene,RMNH.INS.1271338_Ae_rusticus - COX3 gene,RMNH.INS.1271339_Ae_punctor - COX3 gene,RMNH.INS.1271340_Ae_geniculatus - COX3 gene,RMNH.INS.1271341_Ae_geniculatus - COX3 gene,RMNH.INS.1271342_Ae_geniculatus - COX3 gene,RMNH.INS.1271344_Cs_subochrea - COX3 gene,RMNH.INS.1271345_Cs_annulata - COX3 gene,RMNH.INS.1271346_Ae_caspius - COX3 gene,RMNH.INS.1271347_Ae_caspius - COX3 gene,RMNH.INS.1271348_Ae_caspius - COX3 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - COX3 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - COX3 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - COX3 gene,RMNH.INS.1271352_Cs_annulata - COX3 gene,RMNH.INS.1271354_Cs_annulata - COX3 gene,RMNH.INS.1271355_Cx_pipiens - COX3 gene,RMNH.INS.1271356_Cx_pipiens - COX3 gene,RMNH.INS.1271357_Cx_pipiens - COX3 gene,RMNH.INS.1271358_Cs_morsitans - COX3 gene,RMNH.INS.1271359_Cs_morsitans - COX3 gene,RMNH.INS.1271360_Cs_morsitans - COX3 gene,RMNH.INS.1271361_Ae_sticticus - COX3 gene,RMNH.INS.1271362_Ae_sticticus - COX3 gene,RMNH.INS.1271363_Ae_sticticus - COX3 gene,RMNH.INS.1271367_Ae_detritus - COX3 gene,RMNH.INS.1271368_Ae_detritus - COX3 gene,RMNH.INS.1271369_Ae_caspius - COX3 gene,RMNH.INS.1271370_Ae_flavescens - COX3 gene,RMNH.INS.1271371_Ae_flavescens - COX3 gene,RMNH.INS.1271372_Ae_flavescens - COX3 gene,RMNH.INS.1271375_Ae_leucomelas - COX3 gene,RMNH.INS.1271376_Ae_albopictus - COX3 gene,RMNH.INS.1271377_Ae_albopictus - COX3 gene,RMNH.INS.1271378_Ae_albopictus - COX3 gene,RMNH.INS.1271379_Ae_japonicus - COX3 gene,RMNH.INS.1271380_Ae_japonicus - COX3 gene,RMNH.INS.1271381_Ae_japonicus - COX3 gene,RMNH.INS.1271382_Ae_aegypti - COX3 gene,RMNH.INS.1271383_Ae_aegypti - COX3 gene,RMNH.INS.1271384_Ae_aegypti - COX3 gene,RMNH.INS.1271386_Ae_cinereus - COX3 gene,RMNH.INS.1271389_Cs_ochroptera - COX3 gene
RMNH.INS.1271308_Cs_annulata - COX3 gene,85.157,85.409,85.409,85.932,85.932,86.185,87.199,87.072,87.326,99.873,,99.873,85.409,85.409,85.409,88.086,88.086,88.213,85.031,85.031,85.031,87.072,86.819,86.819,89.987,89.987,89.987,87.833,87.452,87.452,87.706,87.833,87.706,86.415,86.541,86.541,85.678,85.425,85.425,85.551,86.541,85.551,86.058,86.058,86.058,95.437,100,87.072,87.452,86.946,85.409,85.409,85.409,100,100,87.959,87.833,87.579,87.959,87.959,87.959,86.946,86.946,87.072,86.819,86.946,87.452,87.072,87.072,87.199,86.439,87.579,87.579,87.579,85.678,85.678,85.678,87.326,87.072,87.072,87.072,88.593
RMNH.INS.1271309_Cs_annulata - COX3 gene,85.283,85.535,85.535,86.058,86.058,86.312,87.326,87.199,87.452,99.747,99.873,,85.535,85.535,85.535,88.213,88.213,88.34,85.157,85.157,85.157,87.199,86.946,86.946,90.114,90.114,90.114,87.959,87.579,87.579,87.833,87.959,87.833,86.541,86.667,86.667,85.805,85.551,85.551,85.678,86.667,85.678,86.185,86.185,86.185,95.564,99.873,87.199,87.579,87.072,85.535,85.535,85.535,99.873,99.873,88.086,87.959,87.706,88.086,88.086,88.086,87.072,87.072,87.199,86.946,87.072,87.579,87.199,87.199,87.326,86.565,87.706,87.706,87.706,85.805,85.805,85.805,87.199,86.946,86.946,87.199,88.72
RMNH.INS.1271310_An_claviger - COX3 gene,89.686,89.937,89.811,82.767,82.767,82.893,84.277,84.151,84.528,85.535,85.409,85.535,,99.748,99.623,83.899,84.151,84.528,84.151,84.151,84.151,82.893,82.642,82.516,84.528,84.528,84.528,84.025,83.899,84.025,83.899,83.774,83.774,85.66,85.535,85.535,82.893,82.767,82.767,82.516,85.535,82.516,83.019,83.019,83.019,85.157,85.409,83.522,83.899,83.522,88.679,88.679,88.679,85.409,85.409,84.78,84.654,84.528,84.277,84.277,84.277,83.019,83.019,82.893,82.642,82.516,83.899,83.648,83.648,83.522,83.522,83.522,83.522,83.522,81.887,81.887,82.138,82.767,82.138,82.264,82.893,84.277
RMNH.INS.1271311_An_claviger - COX3 gene,89.686,89.937,89.811,82.767,82.767,82.893,84.277,84.151,84.528,85.535,85.409,85.535,99.748,,99.623,83.899,83.899,84.277,84.151,84.151,84.151,82.893,82.642,82.516,84.528,84.528,84.528,84.025,83.899,84.025,83.899,83.774,83.774,85.66,85.535,85.535,82.893,82.767,82.767,82.516,85.535,82.516,83.019,83.019,83.019,85.157,85.409,83.522,83.899,83.522,88.679,88.679,88.679,85.409,85.409,84.78,84.654,84.528,84.277,84.277,84.277,83.019,83.019,82.893,82.642,82.516,83.899,83.648,83.648,83.522,83.522,83.522,83.522,83.522,81.887,81.887,82.138,82.767,82.138,82.264,82.893,84.277
RMNH.INS.1271312_An_claviger - COX3 gene,89.811,90.063,89.937,82.642,82.642,82.767,84.403,84.277,84.654,85.535,85.409,85.535,99.623,99.623,,84.025,83.774,84.151,84.277,84.277,84.277,82.767,82.516,82.642,84.654,84.654,84.654,84.151,84.025,84.151,84.025,83.899,83.899,85.535,85.409,85.409,83.019,82.893,82.893,82.39,85.409,82.39,83.019,83.019,83.019,85.157,85.409,83.648,84.025,83.648,88.679,88.679,88.679,85.409,85.409,84.78,84.654,84.528,84.151,84.151,84.151,82.893,82.893,82.767,82.767,82.642,84.025,83.774,83.774,83.648,83.648,83.648,83.648,83.648,82.013,82.013,82.013,82.642,82.264,82.39,82.767,84.403
RMNH.INS.1271313_Cx_modestus - COX3 gene,83.522,83.774,84.151,85.551,85.298,85.298,86.439,86.185,86.439,88.213,88.086,88.213,83.899,83.899,84.025,,98.606,98.479,88.931,89.057,88.931,84.791,84.537,84.664,86.819,86.819,86.819,88.34,88.213,87.072,88.213,87.452,87.959,86.038,85.912,85.912,86.058,85.678,85.678,85.805,85.912,85.805,87.579,87.579,87.579,87.452,88.086,87.326,87.959,87.326,84.151,84.151,84.151,88.086,88.086,94.043,93.916,93.916,87.072,87.072,87.072,86.185,86.185,86.058,87.452,87.199,87.959,86.819,86.819,86.946,87.579,85.932,85.932,85.932,87.833,87.833,87.579,86.692,86.439,86.312,84.791,87.833
RMNH.INS.1271314_Cx_modestus - COX3 gene,83.774,84.025,84.151,85.171,84.918,85.171,86.692,86.692,86.819,88.213,88.086,88.213,84.151,83.899,83.774,98.606,,99.62,89.057,89.182,89.057,84.411,84.157,84.03,86.439,86.439,86.439,87.706,87.579,86.819,87.579,87.199,87.452,86.164,86.038,86.038,86.185,85.805,85.805,85.932,86.038,85.932,87.199,87.199,87.199,87.833,88.086,86.692,87.326,86.692,83.522,83.522,83.522,88.086,88.086,93.536,93.409,93.156,86.946,86.946,86.946,86.185,86.185,86.058,87.326,87.072,87.326,86.439,86.439,86.565,87.452,85.678,85.678,85.678,87.199,87.199,87.199,86.565,86.058,85.932,84.664,87.579
RMNH.INS.1271315_Cx_modestus - COX3 gene,83.899,84.151,84.277,85.551,85.298,85.551,86.692,86.692,86.819,88.34,88.213,88.34,84.528,84.277,84.151,98.479,99.62,,89.057,89.182,89.057,84.537,84.284,84.157,86.439,86.439,86.439,87.833,87.706,86.946,87.706,87.326,87.579,86.289,86.164,86.164,86.312,85.932,85.932,85.551,86.164,85.551,86.946,86.946,86.946,87.959,88.213,86.819,87.452,86.819,83.774,83.774,83.774,88.213,88.213,93.79,93.663,93.409,87.199,87.199,87.199,86.312,86.312,86.185,87.452,87.199,87.452,86.565,86.565,86.692,87.579,85.805,85.805,85.805,87.452,87.452,87.452,86.565,86.058,85.932,84.791,87.706
RMNH.INS.1271316_Cx_territans - COX3 gene,86.038,86.038,86.164,83.396,83.145,83.396,84.906,85.031,84.906,85.157,85.031,85.157,84.151,84.151,84.277,88.931,89.057,89.057,,99.874,100,85.912,85.66,85.786,86.289,86.289,86.289,87.044,87.17,86.541,86.918,86.289,86.289,86.164,86.289,86.289,85.66,85.409,85.409,84.528,86.289,84.528,85.409,85.409,85.409,86.164,85.031,86.415,86.541,86.415,84.78,84.78,84.78,85.031,85.031,89.057,88.931,88.805,85.912,85.912,85.912,86.164,86.164,86.038,85.66,85.157,86.541,86.667,86.667,86.792,86.667,84.78,84.78,84.78,85.786,85.786,85.786,85.031,84.403,84.906,86.164,86.792
RMNH.INS.1271317_Cx_territans - COX3 gene,86.038,86.038,86.164,83.396,83.145,83.396,84.906,85.031,84.906,85.157,85.031,85.157,84.151,84.151,84.277,89.057,89.182,89.182,99.874,,99.874,85.912,85.66,85.786,86.289,86.289,86.289,87.044,87.17,86.541,86.918,86.289,86.289,86.164,86.289,86.289,85.66,85.409,85.409,84.528,86.289,84.528,85.409,85.409,85.409,86.164,85.031,86.415,86.541,86.415,84.906,84.906,84.906,85.031,85.031,89.057,88.931,88.805,85.912,85.912,85.912,86.164,86.164,86.038,85.66,85.157,86.541,86.667,86.667,86.792,86.667,84.78,84.78,84.78,85.786,85.786,85.786,84.906,84.277,84.78,86.164,86.792
RMNH.INS.1271318_Cx_territans - COX3 gene,86.038,86.038,86.164,83.396,83.145,83.396,84.906,85.031,84.906,85.157,85.031,85.157,84.151,84.151,84.277,88.931,89.057,89.057,100,99.874,,85.912,85.66,85.786,86.289,86.289,86.289,87.044,87.17,86.541,86.918,86.289,86.289,86.164,86.289,86.289,85.66,85.409,85.409,84.528,86.289,84.528,85.409,85.409,85.409,86.164,85.031,86.415,86.541,86.415,84.78,84.78,84.78,85.031,85.031,89.057,88.931,88.805,85.912,85.912,85.912,86.164,86.164,86.038,85.66,85.157,86.541,86.667,86.667,86.792,86.667,84.78,84.78,84.78,85.786,85.786,85.786,85.031,84.403,84.906,86.164,86.792
RMNH.INS.1271319_Ae_cinereus - COX3 gene,83.145,83.27,83.522,85.805,85.551,85.805,89.354,89.354,89.48,87.199,87.072,87.199,82.893,82.893,82.767,84.791,84.411,84.537,85.912,85.912,85.912,,99.747,99.62,86.185,86.185,86.185,89.734,89.607,89.607,89.607,89.354,89.607,87.421,87.296,87.296,87.326,87.199,87.199,87.706,87.296,87.706,86.946,86.946,86.946,86.819,87.072,88.466,88.466,88.34,82.893,82.893,82.893,87.072,87.072,85.425,85.298,85.425,85.805,85.805,85.805,89.227,89.227,89.1,87.959,87.833,88.466,88.72,88.72,88.847,87.706,87.833,87.833,87.833,87.579,87.579,88.086,88.213,87.579,87.959,99.113,86.819
RMNH.INS.1271320_Ae_cinereus - COX3 gene,83.145,83.27,83.522,85.551,85.298,85.551,89.1,89.1,89.227,86.946,86.819,86.946,82.642,82.642,82.516,84.537,84.157,84.284,85.66,85.66,85.66,99.747,,99.873,85.932,85.932,85.932,89.48,89.354,89.354,89.354,89.1,89.354,87.17,87.044,87.044,87.326,87.199,87.199,87.706,87.044,87.706,86.692,86.692,86.692,86.565,86.819,88.213,88.213,88.086,82.642,82.642,82.642,86.819,86.819,85.171,85.044,85.171,85.551,85.551,85.551,88.973,88.973,88.847,87.706,87.579,88.213,88.466,88.466,88.593,87.452,87.579,87.579,87.579,87.326,87.326,87.833,87.959,87.326,87.706,99.366,86.565
RMNH.INS.1271321_Ae_cinereus - COX3 gene,83.27,83.396,83.648,85.425,85.171,85.425,88.973,88.973,89.1,86.946,86.819,86.946,82.516,82.516,82.642,84.664,84.03,84.157,85.786,85.786,85.786,99.62,99.873,,86.058,86.058,86.058,89.607,89.48,89.48,89.48,89.227,89.48,87.044,86.918,86.918,87.452,87.326,87.326,87.579,86.918,87.579,86.692,86.692,86.692,86.565,86.819,88.34,88.34,88.213,82.642,82.642,82.642,86.819,86.819,85.171,85.044,85.171,85.425,85.425,85.425,88.847,88.847,88.72,87.833,87.706,88.34,88.593,88.593,88.72,87.579,87.706,87.706,87.706,87.452,87.452,87.706,87.833,87.452,87.833,99.24,86.692
RMNH.INS.1271322_Cs_longiareolata - COX3 gene,84.403,84.528,84.654,86.819,86.565,86.819,86.058,86.185,86.058,90.114,89.987,90.114,84.528,84.528,84.654,86.819,86.439,86.439,86.289,86.289,86.289,86.185,85.932,86.058,,100,100,87.072,86.946,87.326,86.946,86.819,86.819,85.786,85.66,85.66,85.298,85.044,85.044,84.03,85.66,84.03,85.932,85.932,85.932,89.227,89.987,85.805,85.932,85.678,83.019,83.019,83.019,89.987,89.987,87.959,87.833,87.959,87.579,87.579,87.579,86.439,86.439,86.565,85.551,85.298,85.932,86.439,86.439,86.439,86.312,86.946,86.946,86.946,85.551,85.551,85.298,86.312,85.425,85.551,86.312,88.847
RMNH.INS.1271323_Cs_longiareolata - COX3 gene,84.403,84.528,84.654,86.819,86.565,86.819,86.058,86.185,86.058,90.114,89.987,90.114,84.528,84.528,84.654,86.819,86.439,86.439,86.289,86.289,86.289,86.185,85.932,86.058,100,,100,87.072,86.946,87.326,86.946,86.819,86.819,85.786,85.66,85.66,85.298,85.044,85.044,84.03,85.66,84.03,85.932,85.932,85.932,89.227,89.987,85.805,85.932,85.678,83.019,83.019,83.019,89.987,89.987,87.959,87.833,87.959,87.579,87.579,87.579,86.439,86.439,86.565,85.551,85.298,85.932,86.439,86.439,86.439,86.312,86.946,86.946,86.946,85.551,85.551,85.298,86.312,85.425,85.551,86.312,88.847
